"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","BOS Red Sox","TEX Rangers","Kole Calhoun Doubles","Over","0.5","+750","BOS Red Sox - TEX Rangers"
"2","BOS Red Sox","TEX Rangers","Kole Calhoun Doubles","Under","0.5","-1200","BOS Red Sox - TEX Rangers"
"3","BOS Red Sox","TEX Rangers","Corey Seager Singles","Over","0.5","+180","BOS Red Sox - TEX Rangers"
"4","BOS Red Sox","TEX Rangers","Corey Seager Singles","Under","0.5","-245","BOS Red Sox - TEX Rangers"
"5","BOS Red Sox","TEX Rangers","Tommy Pham Runs","Over","0.5","+190","BOS Red Sox - TEX Rangers"
"6","BOS Red Sox","TEX Rangers","Tommy Pham Runs","Under","0.5","-270","BOS Red Sox - TEX Rangers"
"7","BOS Red Sox","TEX Rangers","Kiké Hernandez Doubles","Over","0.5","+500","BOS Red Sox - TEX Rangers"
"8","BOS Red Sox","TEX Rangers","Kiké Hernandez Doubles","Under","0.5","-800","BOS Red Sox - TEX Rangers"
"9","BOS Red Sox","TEX Rangers","Adolis Garcia Stolen Bases","Over","0.5","+1100","BOS Red Sox - TEX Rangers"
"10","BOS Red Sox","TEX Rangers","Adolis Garcia Stolen Bases","Under","0.5","-2500","BOS Red Sox - TEX Rangers"
"11","BOS Red Sox","TEX Rangers","Brayan Bello Strikeouts Thrown","Over","3.5","-150","BOS Red Sox - TEX Rangers"
"12","BOS Red Sox","TEX Rangers","Brayan Bello Strikeouts Thrown","Under","3.5","+110","BOS Red Sox - TEX Rangers"
"13","BOS Red Sox","TEX Rangers","Christian Arroyo Singles","Over","0.5","+260","BOS Red Sox - TEX Rangers"
"14","BOS Red Sox","TEX Rangers","Christian Arroyo Singles","Under","0.5","-370","BOS Red Sox - TEX Rangers"
"15","BOS Red Sox","TEX Rangers","Marcus Semien - 3rd Plate Appearance - 5th Inning - Pitch Count (vs. Brayan Bello)","Over","3.5","-135","BOS Red Sox - TEX Rangers"
