"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SF Giants","PIT Pirates","Thairo Estrada Total Bases","Over","1.5","+105","SF Giants - PIT Pirates"
"2","SF Giants","PIT Pirates","Thairo Estrada Total Bases","Under","1.5","-140","SF Giants - PIT Pirates"
"3","SF Giants","PIT Pirates","Oneil Cruz Singles","Over","0.5","+230","SF Giants - PIT Pirates"
"4","SF Giants","PIT Pirates","Oneil Cruz Singles","Under","0.5","-330","SF Giants - PIT Pirates"
"5","SF Giants","PIT Pirates","Greg Allen - 3rd Plate Appearance - 5th Inning - Grouped Result (vs. Alex Wood)","Out",NA,"-380","SF Giants - PIT Pirates"
"6","SF Giants","PIT Pirates","Greg Allen - 3rd Plate Appearance - 5th Inning - Grouped Result (vs. Alex Wood)","Hit",NA,"+330","SF Giants - PIT Pirates"
"7","SF Giants","PIT Pirates","Greg Allen - 3rd Plate Appearance - 5th Inning - Grouped Result (vs. Alex Wood)","Walk/Hit by Pitch",NA,"+800","SF Giants - PIT Pirates"
"8","SF Giants","PIT Pirates","LaMonte Wade Jr. Doubles","Over","0.5","+1000","SF Giants - PIT Pirates"
"9","SF Giants","PIT Pirates","LaMonte Wade Jr. Doubles","Under","0.5","-1800","SF Giants - PIT Pirates"
"10","SF Giants","PIT Pirates","Brandon Crawford Singles","Over","0.5","+220","SF Giants - PIT Pirates"
"11","SF Giants","PIT Pirates","Brandon Crawford Singles","Under","0.5","-310","SF Giants - PIT Pirates"
"12","SF Giants","PIT Pirates","Total Runs - 1st 5 Innings","Over","8.5","+160","SF Giants - PIT Pirates"
"13","SF Giants","PIT Pirates","Total Runs - 1st 5 Innings","Under","8.5","-195","SF Giants - PIT Pirates"
"14","SF Giants","PIT Pirates","Rodolfo Castro Runs","Over","0.5","+425","SF Giants - PIT Pirates"
"15","SF Giants","PIT Pirates","Rodolfo Castro Runs","Under","0.5","-650","SF Giants - PIT Pirates"
"16","SF Giants","PIT Pirates","Tommy La Stella Home Runs","Over","0.5","+2000","SF Giants - PIT Pirates"
"17","SF Giants","PIT Pirates","Tommy La Stella Home Runs","Under","0.5","-6000","SF Giants - PIT Pirates"
"18","SF Giants","PIT Pirates","Wilmer Flores Home Runs","Over","0.5","+1300","SF Giants - PIT Pirates"
"19","SF Giants","PIT Pirates","Wilmer Flores Home Runs","Under","0.5","-3000","SF Giants - PIT Pirates"
"20","SF Giants","PIT Pirates","5th Inning (3 Way)","PIT Pirates",NA,"-2500","SF Giants - PIT Pirates"
"21","SF Giants","PIT Pirates","5th Inning (3 Way)","Tie",NA,"+1500","SF Giants - PIT Pirates"
"22","SF Giants","PIT Pirates","5th Inning (3 Way)","SF Giants",NA,"+1500","SF Giants - PIT Pirates"
"23","SF Giants","PIT Pirates","Tucupita Marcano Doubles","Over","0.5","+950","SF Giants - PIT Pirates"
"24","SF Giants","PIT Pirates","Tucupita Marcano Doubles","Under","0.5","-1800","SF Giants - PIT Pirates"
"25","SF Giants","PIT Pirates","LaMonte Wade Jr. Hits","Over","1.5","+230","SF Giants - PIT Pirates"
"26","SF Giants","PIT Pirates","LaMonte Wade Jr. Hits","Under","1.5","-330","SF Giants - PIT Pirates"
"27","SF Giants","PIT Pirates","Michael Chavis Hits","Over","0.5","+195","SF Giants - PIT Pirates"
