,Home,Away,Bet,Outcome,Line,Odds,Matchup
1,MIA Marlins,CIN Reds,Albert Almora Jr. Total Bases,Over,0.5,-145,MIA Marlins - CIN Reds
2,MIA Marlins,CIN Reds,Albert Almora Jr. Total Bases,Under,0.5,105,MIA Marlins - CIN Reds
3,MIA Marlins,CIN Reds,CIN Reds: Team Total Runs,Over,2.5,-115,MIA Marlins - CIN Reds
4,MIA Marlins,CIN Reds,CIN Reds: Team Total Runs,Under,2.5,-115,MIA Marlins - CIN Reds
5,MIA Marlins,CIN Reds,Jesus Aguilar Singles,Over,0.5,120,MIA Marlins - CIN Reds
6,MIA Marlins,CIN Reds,Jesus Aguilar Singles,Under,0.5,-160,MIA Marlins - CIN Reds
7,MIA Marlins,CIN Reds,1st Run,CIN Reds,NA,-110,MIA Marlins - CIN Reds
8,MIA Marlins,CIN Reds,1st Run,MIA Marlins,NA,-125,MIA Marlins - CIN Reds
9,MIA Marlins,CIN Reds,Albert Almora Jr. RBIs,Over,0.5,330,MIA Marlins - CIN Reds
10,MIA Marlins,CIN Reds,Albert Almora Jr. RBIs,Under,0.5,-475,MIA Marlins - CIN Reds
11,MIA Marlins,CIN Reds,Aristides Aquino RBIs,Over,0.5,290,MIA Marlins - CIN Reds
12,MIA Marlins,CIN Reds,Aristides Aquino RBIs,Under,0.5,-425,MIA Marlins - CIN Reds
13,MIA Marlins,CIN Reds,Aristides Aquino Hits,Over,0.5,105,MIA Marlins - CIN Reds
14,MIA Marlins,CIN Reds,Aristides Aquino Hits,Under,0.5,-140,MIA Marlins - CIN Reds
15,MIA Marlins,CIN Reds,CIN Reds Pitches Thrown (Ranges) - 1st Inning,10-14,NA,170,MIA Marlins - CIN Reds
16,MIA Marlins,CIN Reds,CIN Reds Pitches Thrown (Ranges) - 1st Inning,15-19,NA,215,MIA Marlins - CIN Reds
17,MIA Marlins,CIN Reds,CIN Reds Pitches Thrown (Ranges) - 1st Inning,20-24,NA,450,MIA Marlins - CIN Reds
18,MIA Marlins,CIN Reds,CIN Reds Pitches Thrown (Ranges) - 1st Inning,25+,NA,550,MIA Marlins - CIN Reds
19,MIA Marlins,CIN Reds,CIN Reds Pitches Thrown (Ranges) - 1st Inning,0-9,NA,700,MIA Marlins - CIN Reds
20,MIA Marlins,CIN Reds,Donovan Solano Total Bases,Over,0.5,-195,MIA Marlins - CIN Reds
21,MIA Marlins,CIN Reds,Donovan Solano Total Bases,Under,0.5,140,MIA Marlins - CIN Reds
22,MIA Marlins,CIN Reds,Mike Moustakas - 1st Plate Appearance - 1st Inning - Pitch Count (vs. Sandy Alcantara),Over,3.5,-165,MIA Marlins - CIN Reds
23,MIA Marlins,CIN Reds,Mike Moustakas - 1st Plate Appearance - 1st Inning - Pitch Count (vs. Sandy Alcantara),Under,3.5,125,MIA Marlins - CIN Reds
24,MIA Marlins,CIN Reds,Mike Moustakas Stolen Bases,Over,0.5,1400,MIA Marlins - CIN Reds
25,MIA Marlins,CIN Reds,Mike Moustakas Stolen Bases,Under,0.5,-3500,MIA Marlins - CIN Reds
26,MIA Marlins,CIN Reds,Charles LeBlanc Home Runs,Over,0.5,550,MIA Marlins - CIN Reds
27,MIA Marlins,CIN Reds,Charles LeBlanc Home Runs,Under,0.5,-900,MIA Marlins - CIN Reds
28,MIA Marlins,CIN Reds,JJ Bleday RBIs,Over,0.5,225,MIA Marlins - CIN Reds
29,MIA Marlins,CIN Reds,JJ Bleday RBIs,Under,0.5,-310,MIA Marlins - CIN Reds
30,MIA Marlins,CIN Reds,Joey Votto Total Bases,Over,0.5,-160,MIA Marlins - CIN Reds
31,MIA Marlins,CIN Reds,Joey Votto Total Bases,Under,0.5,115,MIA Marlins - CIN Reds
32,MIA Marlins,CIN Reds,JJ Bleday Hits,Over,0.5,-145,MIA Marlins - CIN Reds
33,MIA Marlins,CIN Reds,JJ Bleday Hits,Under,0.5,105,MIA Marlins - CIN Reds
