"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SEA Mariners","CLE Guardians","Jose Ramirez Total Bases","Over","0.5","+295","SEA Mariners - CLE Guardians"
"2","SEA Mariners","CLE Guardians","Jose Ramirez Total Bases","Under","0.5","-425","SEA Mariners - CLE Guardians"
"3","SEA Mariners","CLE Guardians","SEA Mariners Batters to the Plate - 6th Inning","Over","3.5","-170","SEA Mariners - CLE Guardians"
"4","SEA Mariners","CLE Guardians","SEA Mariners Batters to the Plate - 6th Inning","Under","3.5","+125","SEA Mariners - CLE Guardians"
"5","SEA Mariners","CLE Guardians","Oscar Gonzalez Hits","Over","1.5","+135","SEA Mariners - CLE Guardians"
"6","SEA Mariners","CLE Guardians","Oscar Gonzalez Hits","Under","1.5","-190","SEA Mariners - CLE Guardians"
"7","SEA Mariners","CLE Guardians","Ty France Singles","Over","0.5","+125","SEA Mariners - CLE Guardians"
"8","SEA Mariners","CLE Guardians","Ty France Singles","Under","0.5","-170","SEA Mariners - CLE Guardians"
"9","SEA Mariners","CLE Guardians","Eugenio Suarez Home Runs","Over","0.5","+550","SEA Mariners - CLE Guardians"
"10","SEA Mariners","CLE Guardians","Eugenio Suarez Home Runs","Under","0.5","-900","SEA Mariners - CLE Guardians"
"11","SEA Mariners","CLE Guardians","Race to 7 Runs","CLE Guardians",NA,"+1400","SEA Mariners - CLE Guardians"
"12","SEA Mariners","CLE Guardians","Race to 7 Runs","Neither",NA,"-800","SEA Mariners - CLE Guardians"
"13","SEA Mariners","CLE Guardians","Race to 7 Runs","SEA Mariners",NA,"+700","SEA Mariners - CLE Guardians"
"14","SEA Mariners","CLE Guardians","Owen Miller Singles","Over","0.5","+300","SEA Mariners - CLE Guardians"
"15","SEA Mariners","CLE Guardians","Owen Miller Singles","Under","0.5","-450","SEA Mariners - CLE Guardians"
"16","SEA Mariners","CLE Guardians","Eugenio Suarez Total Bases","Over","0.5","+185","SEA Mariners - CLE Guardians"
"17","SEA Mariners","CLE Guardians","Eugenio Suarez Total Bases","Under","0.5","-255","SEA Mariners - CLE Guardians"
"18","SEA Mariners","CLE Guardians","Cal Raleigh Hits","Over","0.5","+245","SEA Mariners - CLE Guardians"
"19","SEA Mariners","CLE Guardians","Cal Raleigh Hits","Under","0.5","-350","SEA Mariners - CLE Guardians"
"20","SEA Mariners","CLE Guardians","SEA Mariners Run Scored - 6th Inning?","Yes",NA,"+235","SEA Mariners - CLE Guardians"
"21","SEA Mariners","CLE Guardians","SEA Mariners Run Scored - 6th Inning?","No",NA,"-330","SEA Mariners - CLE Guardians"
"22","SEA Mariners","CLE Guardians","Will Marco Gonzales Record a Win?","Yes",NA,"-330","SEA Mariners - CLE Guardians"
"23","SEA Mariners","CLE Guardians","Will Marco Gonzales Record a Win?","No",NA,"+235","SEA Mariners - CLE Guardians"
"24","SEA Mariners","CLE Guardians","Austin Hedges Home Runs","Over","0.5","+1800","SEA Mariners - CLE Guardians"
"25","SEA Mariners","CLE Guardians","Austin Hedges Home Runs","Under","0.5","-5000","SEA Mariners - CLE Guardians"
"26","SEA Mariners","CLE Guardians","Andres Gimenez Hits","Over","0.5","+180","SEA Mariners - CLE Guardians"
"27","SEA Mariners","CLE Guardians","Andres Gimenez Hits","Under","0.5","-250","SEA Mariners - CLE Guardians"
"28","SEA Mariners","CLE Guardians","Julio Rodriguez  Doubles","Over","0.5","+1300","SEA Mariners - CLE Guardians"
"29","SEA Mariners","CLE Guardians","Julio Rodriguez  Doubles","Under","0.5","-3000","SEA Mariners - CLE Guardians"
"30","SEA Mariners","CLE Guardians","Extra Innings","Yes",NA,"+750","SEA Mariners - CLE Guardians"
"31","SEA Mariners","CLE Guardians","Extra Innings","No",NA,"-2000","SEA Mariners - CLE Guardians"
"32","SEA Mariners","CLE Guardians","Oscar Gonzalez Runs","Over","0.5","+340","SEA Mariners - CLE Guardians"
