"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","TEX Rangers","LA Angels","LA Angels: Team Total Runs - 1st 5 Innings","Over","1.5","-135","TEX Rangers - LA Angels"
"2","TEX Rangers","LA Angels","LA Angels: Team Total Runs - 1st 5 Innings","Under","1.5","+115","TEX Rangers - LA Angels"
"3","TEX Rangers","LA Angels","Total Hits","Over","17.5","+100","TEX Rangers - LA Angels"
"4","TEX Rangers","LA Angels","Total Hits","Under","17.5","-130","TEX Rangers - LA Angels"
"5","TEX Rangers","LA Angels","Matt Duffy Home Runs","Over","0.5","+1100","TEX Rangers - LA Angels"
"6","TEX Rangers","LA Angels","Matt Duffy Home Runs","Under","0.5","-6000","TEX Rangers - LA Angels"
"7","TEX Rangers","LA Angels","Marcus Semien Runs","Over","0.5","-115","TEX Rangers - LA Angels"
"8","TEX Rangers","LA Angels","Marcus Semien Runs","Under","0.5","-115","TEX Rangers - LA Angels"
"9","TEX Rangers","LA Angels","Dane Dunning Earned Runs Allowed","Over","2.5","-105","TEX Rangers - LA Angels"
"10","TEX Rangers","LA Angels","Dane Dunning Earned Runs Allowed","Under","2.5","-125","TEX Rangers - LA Angels"
"11","TEX Rangers","LA Angels","Taylor Ward Singles","Over","0.5","-110","TEX Rangers - LA Angels"
"12","TEX Rangers","LA Angels","Taylor Ward Singles","Under","0.5","-120","TEX Rangers - LA Angels"
"13","TEX Rangers","LA Angels","Mickey Moniak Doubles","Over","0.5","+550","TEX Rangers - LA Angels"
"14","TEX Rangers","LA Angels","Mickey Moniak Doubles","Under","0.5","-1100","TEX Rangers - LA Angels"
"15","TEX Rangers","LA Angels","Josh Smith Doubles","Over","0.5","+550","TEX Rangers - LA Angels"
"16","TEX Rangers","LA Angels","Josh Smith Doubles","Under","0.5","-1100","TEX Rangers - LA Angels"
"17","TEX Rangers","LA Angels","Corey Seager Home Runs","Over","0.5","+360","TEX Rangers - LA Angels"
"18","TEX Rangers","LA Angels","Corey Seager Home Runs","Under","0.5","-575","TEX Rangers - LA Angels"
"19","TEX Rangers","LA Angels","Luis Rengifo Stolen Bases","Over","0.5","+750","TEX Rangers - LA Angels"
"20","TEX Rangers","LA Angels","Luis Rengifo Stolen Bases","Under","0.5","-2000","TEX Rangers - LA Angels"
"21","TEX Rangers","LA Angels","Mike Trout Home Runs","Over","0.5","+260","TEX Rangers - LA Angels"
"22","TEX Rangers","LA Angels","Mike Trout Home Runs","Under","0.5","-380","TEX Rangers - LA Angels"
"23","TEX Rangers","LA Angels","Josh Jung Runs","Over","0.5","+115","TEX Rangers - LA Angels"
"24","TEX Rangers","LA Angels","Josh Jung Runs","Under","0.5","-155","TEX Rangers - LA Angels"
"25","TEX Rangers","LA Angels","Nathaniel Lowe Total Bases","Over","1.5","+140","TEX Rangers - LA Angels"
"26","TEX Rangers","LA Angels","Nathaniel Lowe Total Bases","Under","1.5","-190","TEX Rangers - LA Angels"
"27","TEX Rangers","LA Angels","Runs - 1st Inning","Over","0.5","-120","TEX Rangers - LA Angels"
"28","TEX Rangers","LA Angels","Runs - 1st Inning","Under","0.5","-105","TEX Rangers - LA Angels"
"29","TEX Rangers","LA Angels","Runs - 1st Inning","Over","1.5","+210","TEX Rangers - LA Angels"
