"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SF Giants","LA Dodgers","Trayce Thompson Home Runs","Over","0.5","+650","SF Giants - LA Dodgers"
"2","SF Giants","LA Dodgers","Trayce Thompson Home Runs","Under","0.5","-1400","SF Giants - LA Dodgers"
"3","SF Giants","LA Dodgers","Evan Longoria Hits","Over","0.5","-155","SF Giants - LA Dodgers"
"4","SF Giants","LA Dodgers","Evan Longoria Hits","Under","0.5","+115","SF Giants - LA Dodgers"
"5","SF Giants","LA Dodgers","Trayce Thompson Hits","Over","0.5","-160","SF Giants - LA Dodgers"
"6","SF Giants","LA Dodgers","Trayce Thompson Hits","Under","0.5","+120","SF Giants - LA Dodgers"
"7","SF Giants","LA Dodgers","Thairo Estrada Singles","Over","0.5","-115","SF Giants - LA Dodgers"
"8","SF Giants","LA Dodgers","Thairo Estrada Singles","Under","0.5","-115","SF Giants - LA Dodgers"
"9","SF Giants","LA Dodgers","Inning of Last Score","9th Inning",NA,"+160","SF Giants - LA Dodgers"
"10","SF Giants","LA Dodgers","Inning of Last Score","8th Inning",NA,"+275","SF Giants - LA Dodgers"
"11","SF Giants","LA Dodgers","Inning of Last Score","7th Inning",NA,"+550","SF Giants - LA Dodgers"
"12","SF Giants","LA Dodgers","Inning of Last Score","10th Inning or Later",NA,"+650","SF Giants - LA Dodgers"
"13","SF Giants","LA Dodgers","Inning of Last Score","6th Inning",NA,"+850","SF Giants - LA Dodgers"
"14","SF Giants","LA Dodgers","Inning of Last Score","5th Inning",NA,"+1800","SF Giants - LA Dodgers"
"15","SF Giants","LA Dodgers","Inning of Last Score","4th Inning",NA,"+2800","SF Giants - LA Dodgers"
"16","SF Giants","LA Dodgers","Inning of Last Score","3rd Inning",NA,"+4000","SF Giants - LA Dodgers"
"17","SF Giants","LA Dodgers","Inning of Last Score","2nd Inning",NA,"+6000","SF Giants - LA Dodgers"
"18","SF Giants","LA Dodgers","Inning of Last Score","1st Inning",NA,"+6500","SF Giants - LA Dodgers"
"19","SF Giants","LA Dodgers","Chris Taylor RBIs","Over","0.5","+225","SF Giants - LA Dodgers"
"20","SF Giants","LA Dodgers","Chris Taylor RBIs","Under","0.5","-320","SF Giants - LA Dodgers"
"21","SF Giants","LA Dodgers","Chris Taylor Runs","Over","0.5","+155","SF Giants - LA Dodgers"
"22","SF Giants","LA Dodgers","Chris Taylor Runs","Under","0.5","-210","SF Giants - LA Dodgers"
"23","SF Giants","LA Dodgers","Justin Turner RBIs","Over","0.5","+140","SF Giants - LA Dodgers"
"24","SF Giants","LA Dodgers","Justin Turner RBIs","Under","0.5","-185","SF Giants - LA Dodgers"
"25","SF Giants","LA Dodgers","Lewis Brinson Singles","Over","0.5","+195","SF Giants - LA Dodgers"
"26","SF Giants","LA Dodgers","Lewis Brinson Singles","Under","0.5","-275","SF Giants - LA Dodgers"
"27","SF Giants","LA Dodgers","Joey Bart Runs","Over","0.5","+205","SF Giants - LA Dodgers"
"28","SF Giants","LA Dodgers","Joey Bart Runs","Under","0.5","-285","SF Giants - LA Dodgers"
"29","SF Giants","LA Dodgers","Max Muncy RBIs","Over","0.5","+170","SF Giants - LA Dodgers"
"30","SF Giants","LA Dodgers","Max Muncy RBIs","Under","0.5","-230","SF Giants - LA Dodgers"
"31","SF Giants","LA Dodgers","J.D. Davis Singles","Over","0.5","+170","SF Giants - LA Dodgers"
"32","SF Giants","LA Dodgers","J.D. Davis Singles","Under","0.5","-235","SF Giants - LA Dodgers"
"33","SF Giants","LA Dodgers","Justin Turner Hits","Over","1.5","+195","SF Giants - LA Dodgers"
"34","SF Giants","LA Dodgers","Justin Turner Hits","Under","1.5","-275","SF Giants - LA Dodgers"
