"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","ATL Braves","PHI Phillies","J.T. Realmuto Total Bases","Over","1.5","+120","ATL Braves - PHI Phillies"
"2","ATL Braves","PHI Phillies","J.T. Realmuto Total Bases","Under","1.5","-160","ATL Braves - PHI Phillies"
"3","ATL Braves","PHI Phillies","J.T. Realmuto Hits + Runs + RBIs","Over","1.5","-130","ATL Braves - PHI Phillies"
"4","ATL Braves","PHI Phillies","J.T. Realmuto Hits + Runs + RBIs","Under","1.5","-105","ATL Braves - PHI Phillies"
"5","ATL Braves","PHI Phillies","Top of 1st – Total Strikeouts","1",NA,"+125","ATL Braves - PHI Phillies"
"6","ATL Braves","PHI Phillies","Top of 1st – Total Strikeouts","0",NA,"+250","ATL Braves - PHI Phillies"
"7","ATL Braves","PHI Phillies","Top of 1st – Total Strikeouts","2",NA,"+290","ATL Braves - PHI Phillies"
"8","ATL Braves","PHI Phillies","Top of 1st – Total Strikeouts","3+",NA,"+1200","ATL Braves - PHI Phillies"
"9","ATL Braves","PHI Phillies","1st Run","PHI Phillies",NA,"-145","ATL Braves - PHI Phillies"
"10","ATL Braves","PHI Phillies","1st Run","ATL Braves",NA,"+110","ATL Braves - PHI Phillies"
"11","ATL Braves","PHI Phillies","Rhys Hoskins Runs","Over","0.5","+110","ATL Braves - PHI Phillies"
"12","ATL Braves","PHI Phillies","Rhys Hoskins Runs","Under","0.5","-145","ATL Braves - PHI Phillies"
"13","ATL Braves","PHI Phillies","J.T. Realmuto to hit 1st Home Run?","Yes",NA,"+1100","ATL Braves - PHI Phillies"
"14","ATL Braves","PHI Phillies","J.T. Realmuto to hit 1st Home Run?","No",NA,"-2500","ATL Braves - PHI Phillies"
"15","ATL Braves","PHI Phillies","Eddie Rosario Total Bases","Over","0.5","-135","ATL Braves - PHI Phillies"
"16","ATL Braves","PHI Phillies","Eddie Rosario Total Bases","Under","0.5","+100","ATL Braves - PHI Phillies"
"17","ATL Braves","PHI Phillies","Bryson Stott Doubles","Over","0.5","+475","ATL Braves - PHI Phillies"
"18","ATL Braves","PHI Phillies","Bryson Stott Doubles","Under","0.5","-900","ATL Braves - PHI Phillies"
"19","ATL Braves","PHI Phillies","Orlando Arcia Doubles","Over","0.5","+500","ATL Braves - PHI Phillies"
"20","ATL Braves","PHI Phillies","Orlando Arcia Doubles","Under","0.5","-1000","ATL Braves - PHI Phillies"
"21","ATL Braves","PHI Phillies","Bryson Stott Hits + Runs + RBIs","Over","1.5","+130","ATL Braves - PHI Phillies"
"22","ATL Braves","PHI Phillies","Bryson Stott Hits + Runs + RBIs","Under","1.5","-170","ATL Braves - PHI Phillies"
"23","ATL Braves","PHI Phillies","Dansby Swanson Home Runs","Over","0.5","+650","ATL Braves - PHI Phillies"
"24","ATL Braves","PHI Phillies","Dansby Swanson Home Runs","Under","0.5","-1400","ATL Braves - PHI Phillies"
"25","ATL Braves","PHI Phillies","Michael Harris Doubles","Over","0.5","+475","ATL Braves - PHI Phillies"
"26","ATL Braves","PHI Phillies","Michael Harris Doubles","Under","0.5","-900","ATL Braves - PHI Phillies"
"27","ATL Braves","PHI Phillies","Kyle Schwarber Total Bases","Over","1.5","+120","ATL Braves - PHI Phillies"
"28","ATL Braves","PHI Phillies","Kyle Schwarber Total Bases","Under","1.5","-160","ATL Braves - PHI Phillies"
"29","ATL Braves","PHI Phillies","Rhys Hoskins RBIs","Over","0.5","+205","ATL Braves - PHI Phillies"
"30","ATL Braves","PHI Phillies","Rhys Hoskins RBIs","Under","0.5","-285","ATL Braves - PHI Phillies"
"31","ATL Braves","PHI Phillies","Michael Harris Hits + Runs + RBIs","Over","1.5","+105","ATL Braves - PHI Phillies"
"32","ATL Braves","PHI Phillies","Michael Harris Hits + Runs + RBIs","Under","1.5","-140","ATL Braves - PHI Phillies"
"33","ATL Braves","PHI Phillies","Bryce Harper to hit 1st Home Run?","Yes",NA,"+1000","ATL Braves - PHI Phillies"
"34","ATL Braves","PHI Phillies","Bryce Harper to hit 1st Home Run?","No",NA,"-2000","ATL Braves - PHI Phillies"
