"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","NY Yankees","TOR Blue Jays","Vladimir Guerrero Jr. RBIs","Over","0.5","+145","NY Yankees - TOR Blue Jays"
"2","NY Yankees","TOR Blue Jays","Vladimir Guerrero Jr. RBIs","Under","0.5","-200","NY Yankees - TOR Blue Jays"
"3","NY Yankees","TOR Blue Jays","Will Jose Berrios Record a Win?","Yes",NA,"+225","NY Yankees - TOR Blue Jays"
"4","NY Yankees","TOR Blue Jays","Will Jose Berrios Record a Win?","No",NA,"-320","NY Yankees - TOR Blue Jays"
"5","NY Yankees","TOR Blue Jays","Aaron Judge Home Runs","Over","0.5","+180","NY Yankees - TOR Blue Jays"
"6","NY Yankees","TOR Blue Jays","Aaron Judge Home Runs","Under","0.5","-245","NY Yankees - TOR Blue Jays"
"7","NY Yankees","TOR Blue Jays","Gleyber Torres RBIs","Over","0.5","+180","NY Yankees - TOR Blue Jays"
"8","NY Yankees","TOR Blue Jays","Gleyber Torres RBIs","Under","0.5","-250","NY Yankees - TOR Blue Jays"
"9","NY Yankees","TOR Blue Jays","Whit Merrifield Singles","Over","0.5","-110","NY Yankees - TOR Blue Jays"
"10","NY Yankees","TOR Blue Jays","Whit Merrifield Singles","Under","0.5","-120","NY Yankees - TOR Blue Jays"
"11","NY Yankees","TOR Blue Jays","Frankie Montas Earned Runs Allowed","Over","2.5","-135","NY Yankees - TOR Blue Jays"
"12","NY Yankees","TOR Blue Jays","Frankie Montas Earned Runs Allowed","Under","2.5","+100","NY Yankees - TOR Blue Jays"
"13","NY Yankees","TOR Blue Jays","Whit Merrifield Stolen Bases","Over","0.5","+700","NY Yankees - TOR Blue Jays"
"14","NY Yankees","TOR Blue Jays","Whit Merrifield Stolen Bases","Under","0.5","-1800","NY Yankees - TOR Blue Jays"
"15","NY Yankees","TOR Blue Jays","Santiago Espinal Home Runs","Over","0.5","+950","NY Yankees - TOR Blue Jays"
"16","NY Yankees","TOR Blue Jays","Santiago Espinal Home Runs","Under","0.5","-3500","NY Yankees - TOR Blue Jays"
"17","NY Yankees","TOR Blue Jays","NY Yankees: Team Total Runs","Over","4.5","-125","NY Yankees - TOR Blue Jays"
"18","NY Yankees","TOR Blue Jays","NY Yankees: Team Total Runs","Under","4.5","-105","NY Yankees - TOR Blue Jays"
"19","NY Yankees","TOR Blue Jays","First Scoring Play - Number of Runs","1 Run",NA,"-380","NY Yankees - TOR Blue Jays"
"20","NY Yankees","TOR Blue Jays","First Scoring Play - Number of Runs","2 Runs",NA,"+340","NY Yankees - TOR Blue Jays"
"21","NY Yankees","TOR Blue Jays","First Scoring Play - Number of Runs","3 Runs",NA,"+1500","NY Yankees - TOR Blue Jays"
"22","NY Yankees","TOR Blue Jays","First Scoring Play - Number of Runs","4 Runs",NA,"+7500","NY Yankees - TOR Blue Jays"
"23","NY Yankees","TOR Blue Jays","Frankie Montas Strikeouts Thrown","Over","5.5","+120","NY Yankees - TOR Blue Jays"
