,Home,Away,Bet,Outcome,Line,Odds,Matchup
1,STL Cardinals,CHI Cubs,Patrick Wisdom Runs,Over,0.5,105,STL Cardinals - CHI Cubs
2,STL Cardinals,CHI Cubs,Patrick Wisdom Runs,Under,0.5,-140,STL Cardinals - CHI Cubs
3,STL Cardinals,CHI Cubs,CHI Cubs: Team Total Runs,Over,3.5,-115,STL Cardinals - CHI Cubs
4,STL Cardinals,CHI Cubs,CHI Cubs: Team Total Runs,Under,3.5,-115,STL Cardinals - CHI Cubs
5,STL Cardinals,CHI Cubs,Nico Hoerner Home Runs,Over,0.5,750,STL Cardinals - CHI Cubs
6,STL Cardinals,CHI Cubs,Nico Hoerner Home Runs,Under,0.5,-2000,STL Cardinals - CHI Cubs
7,STL Cardinals,CHI Cubs,Nico Hoerner Stolen Bases,Over,0.5,600,STL Cardinals - CHI Cubs
8,STL Cardinals,CHI Cubs,Nico Hoerner Stolen Bases,Under,0.5,-1400,STL Cardinals - CHI Cubs
9,STL Cardinals,CHI Cubs,Paul DeJong Singles,Over,0.5,165,STL Cardinals - CHI Cubs
10,STL Cardinals,CHI Cubs,Paul DeJong Singles,Under,0.5,-225,STL Cardinals - CHI Cubs
11,STL Cardinals,CHI Cubs,Tommy Edman Runs,Over,0.5,-115,STL Cardinals - CHI Cubs
12,STL Cardinals,CHI Cubs,Tommy Edman Runs,Under,0.5,-115,STL Cardinals - CHI Cubs
13,STL Cardinals,CHI Cubs,Christopher Morel Home Runs,Over,0.5,475,STL Cardinals - CHI Cubs
14,STL Cardinals,CHI Cubs,Christopher Morel Home Runs,Under,0.5,-800,STL Cardinals - CHI Cubs
15,STL Cardinals,CHI Cubs,Nolan Arenado Home Runs,Over,0.5,275,STL Cardinals - CHI Cubs
16,STL Cardinals,CHI Cubs,Nolan Arenado Home Runs,Under,0.5,-400,STL Cardinals - CHI Cubs
17,STL Cardinals,CHI Cubs,Lars Nootbaar Doubles,Over,0.5,550,STL Cardinals - CHI Cubs
18,STL Cardinals,CHI Cubs,Lars Nootbaar Doubles,Under,0.5,-1100,STL Cardinals - CHI Cubs
19,STL Cardinals,CHI Cubs,Frank Schwindel Hits,Over,0.5,-205,STL Cardinals - CHI Cubs
20,STL Cardinals,CHI Cubs,Frank Schwindel Hits,Under,0.5,155,STL Cardinals - CHI Cubs
21,STL Cardinals,CHI Cubs,P.J. Higgins Singles,Over,0.5,-105,STL Cardinals - CHI Cubs
22,STL Cardinals,CHI Cubs,P.J. Higgins Singles,Under,0.5,-125,STL Cardinals - CHI Cubs
