"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","TEX Rangers","NY Yankees","Aaron Judge Stolen Bases","Over","0.5","+850","TEX Rangers - NY Yankees"
"2","TEX Rangers","NY Yankees","Aaron Judge Stolen Bases","Under","0.5","-2500","TEX Rangers - NY Yankees"
"3","TEX Rangers","NY Yankees","Josh Smith Singles","Over","0.5","+120","TEX Rangers - NY Yankees"
"4","TEX Rangers","NY Yankees","Josh Smith Singles","Under","0.5","-160","TEX Rangers - NY Yankees"
"5","TEX Rangers","NY Yankees","Josh Donaldson Home Runs","Over","0.5","+390","TEX Rangers - NY Yankees"
"6","TEX Rangers","NY Yankees","Josh Donaldson Home Runs","Under","0.5","-650","TEX Rangers - NY Yankees"
"7","TEX Rangers","NY Yankees","Marcus Semien RBIs","Over","0.5","+210","TEX Rangers - NY Yankees"
"8","TEX Rangers","NY Yankees","Marcus Semien RBIs","Under","0.5","-295","TEX Rangers - NY Yankees"
"9","TEX Rangers","NY Yankees","Aaron Hicks Total Bases","Over","0.5","-175","TEX Rangers - NY Yankees"
"10","TEX Rangers","NY Yankees","Aaron Hicks Total Bases","Under","0.5","+130","TEX Rangers - NY Yankees"
"11","TEX Rangers","NY Yankees","Jonah Heim Home Runs","Over","0.5","+600","TEX Rangers - NY Yankees"
"12","TEX Rangers","NY Yankees","Jonah Heim Home Runs","Under","0.5","-1400","TEX Rangers - NY Yankees"
"13","TEX Rangers","NY Yankees","Corey Seager Singles","Over","0.5","-125","TEX Rangers - NY Yankees"
"14","TEX Rangers","NY Yankees","Corey Seager Singles","Under","0.5","-105","TEX Rangers - NY Yankees"
"15","TEX Rangers","NY Yankees","Runs - 1st Inning","Over","0.5","-105","TEX Rangers - NY Yankees"
"16","TEX Rangers","NY Yankees","Runs - 1st Inning","Under","0.5","-125","TEX Rangers - NY Yankees"
"17","TEX Rangers","NY Yankees","Runs - 1st Inning","Over","1.5","+255","TEX Rangers - NY Yankees"
"18","TEX Rangers","NY Yankees","Runs - 1st Inning","Under","1.5","-360","TEX Rangers - NY Yankees"
"19","TEX Rangers","NY Yankees","Aaron Judge Singles","Over","0.5","+125","TEX Rangers - NY Yankees"
"20","TEX Rangers","NY Yankees","Aaron Judge Singles","Under","0.5","-165","TEX Rangers - NY Yankees"
"21","TEX Rangers","NY Yankees","Giancarlo Stanton RBIs","Over","0.5","+165","TEX Rangers - NY Yankees"
"22","TEX Rangers","NY Yankees","Giancarlo Stanton RBIs","Under","0.5","-220","TEX Rangers - NY Yankees"
"23","TEX Rangers","NY Yankees","Will Martin Perez Record a Win?","Yes",NA,"+255","TEX Rangers - NY Yankees"
"24","TEX Rangers","NY Yankees","Will Martin Perez Record a Win?","No",NA,"-370","TEX Rangers - NY Yankees"
"25","TEX Rangers","NY Yankees","Aaron Hicks RBIs","Over","0.5","+195","TEX Rangers - NY Yankees"
"26","TEX Rangers","NY Yankees","Aaron Hicks RBIs","Under","0.5","-270","TEX Rangers - NY Yankees"
"27","TEX Rangers","NY Yankees","Total 1st 5 Innings","Over","4","-115","TEX Rangers - NY Yankees"
"28","TEX Rangers","NY Yankees","Total 1st 5 Innings","Under","4","-115","TEX Rangers - NY Yankees"
"29","TEX Rangers","NY Yankees","Adolis Garcia Runs","Over","0.5","+165","TEX Rangers - NY Yankees"
"30","TEX Rangers","NY Yankees","Adolis Garcia Runs","Under","0.5","-220","TEX Rangers - NY Yankees"
"31","TEX Rangers","NY Yankees","Winning Margin","To Win By 1 Run",NA,"+550","TEX Rangers - NY Yankees"
"32","TEX Rangers","NY Yankees","Winning Margin","To Win By 2 Runs",NA,"+700","TEX Rangers - NY Yankees"
"33","TEX Rangers","NY Yankees","Winning Margin","To Win By 3 Runs",NA,"+850","TEX Rangers - NY Yankees"
