"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","DET Tigers","LA Angels","DET Tigers: Team Total Runs","Over","3.5","+100","DET Tigers - LA Angels"
"2","DET Tigers","LA Angels","DET Tigers: Team Total Runs","Under","3.5","-130","DET Tigers - LA Angels"
"3","DET Tigers","LA Angels","Total Hits","Over","15.5","-110","DET Tigers - LA Angels"
"4","DET Tigers","LA Angels","Total Hits","Under","15.5","-120","DET Tigers - LA Angels"
"5","DET Tigers","LA Angels","First Scoring Play - Number of Runs","1 Run",NA,"-390","DET Tigers - LA Angels"
"6","DET Tigers","LA Angels","First Scoring Play - Number of Runs","2 Runs",NA,"+340","DET Tigers - LA Angels"
"7","DET Tigers","LA Angels","First Scoring Play - Number of Runs","3 Runs",NA,"+1700","DET Tigers - LA Angels"
"8","DET Tigers","LA Angels","First Scoring Play - Number of Runs","4 Runs",NA,"+8000","DET Tigers - LA Angels"
"9","DET Tigers","LA Angels","Team With Highest Scoring Inning","LA Angels",NA,"-160","DET Tigers - LA Angels"
"10","DET Tigers","LA Angels","Team With Highest Scoring Inning","DET Tigers",NA,"+120","DET Tigers - LA Angels"
"11","DET Tigers","LA Angels","DET Tigers to Bat Bottom of 9th","Yes",NA,"-235","DET Tigers - LA Angels"
"12","DET Tigers","LA Angels","DET Tigers to Bat Bottom of 9th","No",NA,"+170","DET Tigers - LA Angels"
"13","DET Tigers","LA Angels","Runs - 1st Inning","Over","0.5","-105","DET Tigers - LA Angels"
"14","DET Tigers","LA Angels","Runs - 1st Inning","Under","0.5","-125","DET Tigers - LA Angels"
"15","DET Tigers","LA Angels","Runs - 1st Inning","Over","1.5","+250","DET Tigers - LA Angels"
"16","DET Tigers","LA Angels","Runs - 1st Inning","Under","1.5","-350","DET Tigers - LA Angels"
"17","DET Tigers","LA Angels","Race to 3 Runs","LA Angels",NA,"-140","DET Tigers - LA Angels"
"18","DET Tigers","LA Angels","Race to 3 Runs","Neither",NA,"+750","DET Tigers - LA Angels"
"19","DET Tigers","LA Angels","Race to 3 Runs","DET Tigers",NA,"+150","DET Tigers - LA Angels"
"20","DET Tigers","LA Angels","DET Tigers to Score - 1st Inning","Yes",NA,"+255","DET Tigers - LA Angels"
"21","DET Tigers","LA Angels","DET Tigers to Score - 1st Inning","No",NA,"-370","DET Tigers - LA Angels"
"22","DET Tigers","LA Angels","Inning of First Score","1st Inning",NA,"-105","DET Tigers - LA Angels"
"23","DET Tigers","LA Angels","Inning of First Score","2nd Inning",NA,"+295","DET Tigers - LA Angels"
"24","DET Tigers","LA Angels","Inning of First Score","3rd Inning",NA,"+550","DET Tigers - LA Angels"
"25","DET Tigers","LA Angels","Inning of First Score","4th Inning",NA,"+950","DET Tigers - LA Angels"
"26","DET Tigers","LA Angels","Inning of First Score","5th Inning",NA,"+1700","DET Tigers - LA Angels"
"27","DET Tigers","LA Angels","Inning of First Score","6th Inning",NA,"+2800","DET Tigers - LA Angels"
"28","DET Tigers","LA Angels","Inning of First Score","7th Inning",NA,"+4500","DET Tigers - LA Angels"
"29","DET Tigers","LA Angels","Inning of First Score","8th Inning",NA,"+6000","DET Tigers - LA Angels"
"30","DET Tigers","LA Angels","Inning of First Score","9th Inning",NA,"+6500","DET Tigers - LA Angels"
"31","DET Tigers","LA Angels","Inning of First Score","10th Inning or Later",NA,"+7000","DET Tigers - LA Angels"
"32","DET Tigers","LA Angels","Race to 6 Runs","LA Angels",NA,"+220","DET Tigers - LA Angels"
"33","DET Tigers","LA Angels","Race to 6 Runs","Neither",NA,"-145","DET Tigers - LA Angels"
"34","DET Tigers","LA Angels","Race to 6 Runs","DET Tigers",NA,"+425","DET Tigers - LA Angels"
"35","DET Tigers","LA Angels","Race to 4 Runs","LA Angels",NA,"+100","DET Tigers - LA Angels"
"36","DET Tigers","LA Angels","Race to 4 Runs","Neither",NA,"+300","DET Tigers - LA Angels"
"37","DET Tigers","LA Angels","Race to 4 Runs","DET Tigers",NA,"+195","DET Tigers - LA Angels"
"38","DET Tigers","LA Angels","LA Angels: Team Total Runs","Over","4.5","+115","DET Tigers - LA Angels"
"39","DET Tigers","LA Angels","LA Angels: Team Total Runs","Under","4.5","-145","DET Tigers - LA Angels"
"40","DET Tigers","LA Angels","DET Tigers Score First + Win","Yes",NA,"+245","DET Tigers - LA Angels"
"41","DET Tigers","LA Angels","DET Tigers Score First + Win","No",NA,"-350","DET Tigers - LA Angels"
"42","DET Tigers","LA Angels","Inning of Last Score","9th Inning",NA,"+180","DET Tigers - LA Angels"
"43","DET Tigers","LA Angels","Inning of Last Score","8th Inning",NA,"+280","DET Tigers - LA Angels"
"44","DET Tigers","LA Angels","Inning of Last Score","7th Inning",NA,"+500","DET Tigers - LA Angels"
"45","DET Tigers","LA Angels","Inning of Last Score","10th Inning or Later",NA,"+700","DET Tigers - LA Angels"
"46","DET Tigers","LA Angels","Inning of Last Score","6th Inning",NA,"+800","DET Tigers - LA Angels"
"47","DET Tigers","LA Angels","Inning of Last Score","5th Inning",NA,"+1400","DET Tigers - LA Angels"
"48","DET Tigers","LA Angels","Inning of Last Score","4th Inning",NA,"+2500","DET Tigers - LA Angels"
"49","DET Tigers","LA Angels","Inning of Last Score","3rd Inning",NA,"+4000","DET Tigers - LA Angels"
"50","DET Tigers","LA Angels","Inning of Last Score","2nd Inning",NA,"+6000","DET Tigers - LA Angels"
"51","DET Tigers","LA Angels","Inning of Last Score","1st Inning",NA,"+7000","DET Tigers - LA Angels"
"52","DET Tigers","LA Angels","Extra Innings","Yes",NA,"+650","DET Tigers - LA Angels"
"53","DET Tigers","LA Angels","Extra Innings","No",NA,"-1100","DET Tigers - LA Angels"
"54","DET Tigers","LA Angels","Race to 7 Runs","LA Angels",NA,"+340","DET Tigers - LA Angels"
"55","DET Tigers","LA Angels","Race to 7 Runs","Neither",NA,"-290","DET Tigers - LA Angels"
"56","DET Tigers","LA Angels","Race to 7 Runs","DET Tigers",NA,"+700","DET Tigers - LA Angels"
"57","DET Tigers","LA Angels","Winning Margin","To Win By 1 Run",NA,"+500","DET Tigers - LA Angels"
"58","DET Tigers","LA Angels","Winning Margin","To Win By 2 Runs",NA,"+700","DET Tigers - LA Angels"
"59","DET Tigers","LA Angels","Winning Margin","To Win By 3 Runs",NA,"+850","DET Tigers - LA Angels"
"60","DET Tigers","LA Angels","Winning Margin","To Win By 4 Runs Or More",NA,"+320","DET Tigers - LA Angels"
"61","DET Tigers","LA Angels","Winning Margin","To Win By 1 Run",NA,"+450","DET Tigers - LA Angels"
"62","DET Tigers","LA Angels","Winning Margin","To Win By 2 Runs",NA,"+800","DET Tigers - LA Angels"
"63","DET Tigers","LA Angels","Winning Margin","To Win By 3 Runs",NA,"+1300","DET Tigers - LA Angels"
"64","DET Tigers","LA Angels","Winning Margin","To Win By 4 Runs Or More",NA,"+700","DET Tigers - LA Angels"
"65","DET Tigers","LA Angels","LA Angels: Team Total Runs - 1st 5 Innings","Over","1.5","-155","DET Tigers - LA Angels"
"66","DET Tigers","LA Angels","LA Angels: Team Total Runs - 1st 5 Innings","Under","1.5","+135","DET Tigers - LA Angels"
