"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","STL Cardinals","CHI Cubs","Adrian Sampson Earned Runs Allowed","Over","2.5","-150","STL Cardinals - CHI Cubs"
"2","STL Cardinals","CHI Cubs","Adrian Sampson Earned Runs Allowed","Under","2.5","+115","STL Cardinals - CHI Cubs"
"3","STL Cardinals","CHI Cubs","Nelson Velazquez RBIs","Over","0.5","+240","STL Cardinals - CHI Cubs"
"4","STL Cardinals","CHI Cubs","Nelson Velazquez RBIs","Under","0.5","-340","STL Cardinals - CHI Cubs"
"5","STL Cardinals","CHI Cubs","Lars Nootbaar RBIs","Over","0.5","+185","STL Cardinals - CHI Cubs"
"6","STL Cardinals","CHI Cubs","Lars Nootbaar RBIs","Under","0.5","-255","STL Cardinals - CHI Cubs"
"7","STL Cardinals","CHI Cubs","Nico Hoerner Hits","Over","0.5","-280","STL Cardinals - CHI Cubs"
"8","STL Cardinals","CHI Cubs","Nico Hoerner Hits","Under","0.5","+200","STL Cardinals - CHI Cubs"
"9","STL Cardinals","CHI Cubs","Race to 6 Runs","CHI Cubs",NA,"+475","STL Cardinals - CHI Cubs"
"10","STL Cardinals","CHI Cubs","Race to 6 Runs","Neither",NA,"-115","STL Cardinals - CHI Cubs"
"11","STL Cardinals","CHI Cubs","Race to 6 Runs","STL Cardinals",NA,"+160","STL Cardinals - CHI Cubs"
"12","STL Cardinals","CHI Cubs","Brendan Donovan Runs","Over","0.5","-110","STL Cardinals - CHI Cubs"
"13","STL Cardinals","CHI Cubs","Brendan Donovan Runs","Under","0.5","-120","STL Cardinals - CHI Cubs"
"14","STL Cardinals","CHI Cubs","Paul Goldschmidt Hits","Over","0.5","-260","STL Cardinals - CHI Cubs"
"15","STL Cardinals","CHI Cubs","Paul Goldschmidt Hits","Under","0.5","+190","STL Cardinals - CHI Cubs"
"16","STL Cardinals","CHI Cubs","Ian Happ RBIs","Over","0.5","+205","STL Cardinals - CHI Cubs"
"17","STL Cardinals","CHI Cubs","Ian Happ RBIs","Under","0.5","-285","STL Cardinals - CHI Cubs"
"18","STL Cardinals","CHI Cubs","Tyler O'Neill Total Bases","Over","1.5","+120","STL Cardinals - CHI Cubs"
"19","STL Cardinals","CHI Cubs","Tyler O'Neill Total Bases","Under","1.5","-155","STL Cardinals - CHI Cubs"
"20","STL Cardinals","CHI Cubs","STL Cardinals Score First + Win","Yes",NA,"+105","STL Cardinals - CHI Cubs"
"21","STL Cardinals","CHI Cubs","STL Cardinals Score First + Win","No",NA,"-135","STL Cardinals - CHI Cubs"
"22","STL Cardinals","CHI Cubs","Paul Goldschmidt Doubles","Over","0.5","+320","STL Cardinals - CHI Cubs"
"23","STL Cardinals","CHI Cubs","Paul Goldschmidt Doubles","Under","0.5","-500","STL Cardinals - CHI Cubs"
"24","STL Cardinals","CHI Cubs","Paul Goldschmidt Home Runs","Over","0.5","+350","STL Cardinals - CHI Cubs"
"25","STL Cardinals","CHI Cubs","Paul Goldschmidt Home Runs","Under","0.5","-575","STL Cardinals - CHI Cubs"
"26","STL Cardinals","CHI Cubs","Nick Madrigal Stolen Bases","Over","0.5","+1100","STL Cardinals - CHI Cubs"
"27","STL Cardinals","CHI Cubs","Nick Madrigal Stolen Bases","Under","0.5","-8000","STL Cardinals - CHI Cubs"
"28","STL Cardinals","CHI Cubs","Seiya Suzuki  Singles","Over","0.5","-135","STL Cardinals - CHI Cubs"
"29","STL Cardinals","CHI Cubs","Seiya Suzuki  Singles","Under","0.5","+105","STL Cardinals - CHI Cubs"
"30","STL Cardinals","CHI Cubs","Paul Goldschmidt Singles","Over","0.5","-105","STL Cardinals - CHI Cubs"
"31","STL Cardinals","CHI Cubs","Paul Goldschmidt Singles","Under","0.5","-125","STL Cardinals - CHI Cubs"
"32","STL Cardinals","CHI Cubs","Nelson Velazquez Stolen Bases","Over","0.5","+900","STL Cardinals - CHI Cubs"
"33","STL Cardinals","CHI Cubs","Nelson Velazquez Stolen Bases","Under","0.5","-3500","STL Cardinals - CHI Cubs"
"34","STL Cardinals","CHI Cubs","Franmil Reyes Hits","Over","0.5","-195","STL Cardinals - CHI Cubs"
"35","STL Cardinals","CHI Cubs","Franmil Reyes Hits","Under","0.5","+145","STL Cardinals - CHI Cubs"
"36","STL Cardinals","CHI Cubs","P.J. Higgins RBIs","Over","0.5","+255","STL Cardinals - CHI Cubs"
"37","STL Cardinals","CHI Cubs","P.J. Higgins RBIs","Under","0.5","-370","STL Cardinals - CHI Cubs"
"38","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","1 Run",NA,"-1200","STL Cardinals - CHI Cubs"
"39","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","2 Runs",NA,"-250","STL Cardinals - CHI Cubs"
"40","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","3 Runs",NA,"+100","STL Cardinals - CHI Cubs"
"41","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","4 Runs",NA,"+210","STL Cardinals - CHI Cubs"
"42","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","5 Runs",NA,"+425","STL Cardinals - CHI Cubs"
"43","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","6 Runs",NA,"+950","STL Cardinals - CHI Cubs"
"44","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","7 Runs",NA,"+1800","STL Cardinals - CHI Cubs"
"45","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","8 Runs",NA,"+3000","STL Cardinals - CHI Cubs"
"46","STL Cardinals","CHI Cubs","Both Teams To Score X Runs","9+ Runs",NA,"+5500","STL Cardinals - CHI Cubs"
"47","STL Cardinals","CHI Cubs","Nick Madrigal Doubles","Over","0.5","+425","STL Cardinals - CHI Cubs"
"48","STL Cardinals","CHI Cubs","Nick Madrigal Doubles","Under","0.5","-750","STL Cardinals - CHI Cubs"
"49","STL Cardinals","CHI Cubs","Ian Happ Singles","Over","0.5","-110","STL Cardinals - CHI Cubs"
"50","STL Cardinals","CHI Cubs","Ian Happ Singles","Under","0.5","-125","STL Cardinals - CHI Cubs"
"51","STL Cardinals","CHI Cubs","Corey Dickerson Doubles","Over","0.5","+360","STL Cardinals - CHI Cubs"
"52","STL Cardinals","CHI Cubs","Corey Dickerson Doubles","Under","0.5","-575","STL Cardinals - CHI Cubs"
"53","STL Cardinals","CHI Cubs","P.J. Higgins Runs","Over","0.5","+245","STL Cardinals - CHI Cubs"
"54","STL Cardinals","CHI Cubs","P.J. Higgins Runs","Under","0.5","-350","STL Cardinals - CHI Cubs"
"55","STL Cardinals","CHI Cubs","Jordan Montgomery Earned Runs Allowed","Over","1.5","-150","STL Cardinals - CHI Cubs"
"56","STL Cardinals","CHI Cubs","Jordan Montgomery Earned Runs Allowed","Under","1.5","+115","STL Cardinals - CHI Cubs"
"57","STL Cardinals","CHI Cubs","Moneyline 1st 5 Innings","CHI Cubs",NA,"+185","STL Cardinals - CHI Cubs"
"58","STL Cardinals","CHI Cubs","Moneyline 1st 5 Innings","STL Cardinals",NA,"-230","STL Cardinals - CHI Cubs"
"59","STL Cardinals","CHI Cubs","Nico Hoerner Total Bases","Over","1.5","+135","STL Cardinals - CHI Cubs"
"60","STL Cardinals","CHI Cubs","Nico Hoerner Total Bases","Under","1.5","-180","STL Cardinals - CHI Cubs"
"61","STL Cardinals","CHI Cubs","Corey Dickerson Hits","Over","0.5","-260","STL Cardinals - CHI Cubs"
"62","STL Cardinals","CHI Cubs","Corey Dickerson Hits","Under","0.5","+190","STL Cardinals - CHI Cubs"
"63","STL Cardinals","CHI Cubs","Nico Hoerner Stolen Bases","Over","0.5","+700","STL Cardinals - CHI Cubs"
"64","STL Cardinals","CHI Cubs","Nico Hoerner Stolen Bases","Under","0.5","-1800","STL Cardinals - CHI Cubs"
"65","STL Cardinals","CHI Cubs","Tyler O'Neill Singles","Over","0.5","+110","STL Cardinals - CHI Cubs"
"66","STL Cardinals","CHI Cubs","Tyler O'Neill Singles","Under","0.5","-145","STL Cardinals - CHI Cubs"
"67","STL Cardinals","CHI Cubs","Inning of First Score","1st Inning",NA,"+100","STL Cardinals - CHI Cubs"
"68","STL Cardinals","CHI Cubs","Inning of First Score","2nd Inning",NA,"+265","STL Cardinals - CHI Cubs"
"69","STL Cardinals","CHI Cubs","Inning of First Score","3rd Inning",NA,"+550","STL Cardinals - CHI Cubs"
"70","STL Cardinals","CHI Cubs","Inning of First Score","4th Inning",NA,"+950","STL Cardinals - CHI Cubs"
"71","STL Cardinals","CHI Cubs","Inning of First Score","5th Inning",NA,"+1800","STL Cardinals - CHI Cubs"
"72","STL Cardinals","CHI Cubs","Inning of First Score","6th Inning",NA,"+2800","STL Cardinals - CHI Cubs"
"73","STL Cardinals","CHI Cubs","Inning of First Score","7th Inning",NA,"+4000","STL Cardinals - CHI Cubs"
"74","STL Cardinals","CHI Cubs","Inning of First Score","8th Inning",NA,"+6000","STL Cardinals - CHI Cubs"
"75","STL Cardinals","CHI Cubs","Inning of First Score","10th Inning or Later",NA,"+6500","STL Cardinals - CHI Cubs"
"76","STL Cardinals","CHI Cubs","Inning of First Score","9th Inning",NA,"+7000","STL Cardinals - CHI Cubs"
"77","STL Cardinals","CHI Cubs","Tyler O'Neill RBIs","Over","0.5","+150","STL Cardinals - CHI Cubs"
"78","STL Cardinals","CHI Cubs","Tyler O'Neill RBIs","Under","0.5","-200","STL Cardinals - CHI Cubs"
"79","STL Cardinals","CHI Cubs","Nolan Gorman Runs","Over","0.5","+140","STL Cardinals - CHI Cubs"
"80","STL Cardinals","CHI Cubs","Nolan Gorman Runs","Under","0.5","-185","STL Cardinals - CHI Cubs"
"81","STL Cardinals","CHI Cubs","Nolan Gorman RBIs","Over","0.5","+170","STL Cardinals - CHI Cubs"
"82","STL Cardinals","CHI Cubs","Nolan Gorman RBIs","Under","0.5","-230","STL Cardinals - CHI Cubs"
"83","STL Cardinals","CHI Cubs","Tommy Edman Triples","Over","0.5","+1200","STL Cardinals - CHI Cubs"
"84","STL Cardinals","CHI Cubs","Tommy Edman Triples","Under","0.5","-20000","STL Cardinals - CHI Cubs"
"85","STL Cardinals","CHI Cubs","Yan Gomes RBIs","Over","0.5","+240","STL Cardinals - CHI Cubs"
"86","STL Cardinals","CHI Cubs","Yan Gomes RBIs","Under","0.5","-350","STL Cardinals - CHI Cubs"
"87","STL Cardinals","CHI Cubs","Nico Hoerner Home Runs","Over","0.5","+950","STL Cardinals - CHI Cubs"
"88","STL Cardinals","CHI Cubs","Nico Hoerner Home Runs","Under","0.5","-4000","STL Cardinals - CHI Cubs"
"89","STL Cardinals","CHI Cubs","Jordan Montgomery Walks Allowed","Over","1.5","+160","STL Cardinals - CHI Cubs"
"90","STL Cardinals","CHI Cubs","Jordan Montgomery Walks Allowed","Under","1.5","-215","STL Cardinals - CHI Cubs"
"91","STL Cardinals","CHI Cubs","Seiya Suzuki  Total Bases","Over","1.5","+135","STL Cardinals - CHI Cubs"
"92","STL Cardinals","CHI Cubs","Seiya Suzuki  Total Bases","Under","1.5","-180","STL Cardinals - CHI Cubs"
"93","STL Cardinals","CHI Cubs","Yan Gomes Runs","Over","0.5","+205","STL Cardinals - CHI Cubs"
