"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","CLE Guardians","NY Yankees","Team To Win Most Innings","NY Yankees","-250",NA,"CLE Guardians - NY Yankees"
"2","CLE Guardians","NY Yankees","Team To Win Most Innings","CLE Guardians","+185",NA,"CLE Guardians - NY Yankees"
"3","CLE Guardians","NY Yankees","Giancarlo Stanton Runs","Over","+160","0.5","CLE Guardians - NY Yankees"
"4","CLE Guardians","NY Yankees","Giancarlo Stanton Runs","Under","-220","0.5","CLE Guardians - NY Yankees"
"5","CLE Guardians","NY Yankees","NY Yankees to Score - 1st Inning","Yes","+210",NA,"CLE Guardians - NY Yankees"
"6","CLE Guardians","NY Yankees","NY Yankees to Score - 1st Inning","No","-295",NA,"CLE Guardians - NY Yankees"
"7","CLE Guardians","NY Yankees","Myles Straw RBIs","Over","+400","0.5","CLE Guardians - NY Yankees"
"8","CLE Guardians","NY Yankees","Myles Straw RBIs","Under","-700","0.5","CLE Guardians - NY Yankees"
"9","CLE Guardians","NY Yankees","Steven Kwan Hits","Over","-200","0.5","CLE Guardians - NY Yankees"
"10","CLE Guardians","NY Yankees","Steven Kwan Hits","Under","+150","0.5","CLE Guardians - NY Yankees"
"11","CLE Guardians","NY Yankees","Andres Gimenez Walks","Over","+310","0.5","CLE Guardians - NY Yankees"
"12","CLE Guardians","NY Yankees","Andres Gimenez Walks","Under","-475","0.5","CLE Guardians - NY Yankees"
"13","CLE Guardians","NY Yankees","Harrison Bader Hits","Over","-155","0.5","CLE Guardians - NY Yankees"
"14","CLE Guardians","NY Yankees","Harrison Bader Hits","Under","+115","0.5","CLE Guardians - NY Yankees"
"15","CLE Guardians","NY Yankees","Oswaldo Cabrera Strikeouts","Over","+180","1.5","CLE Guardians - NY Yankees"
"16","CLE Guardians","NY Yankees","Oswaldo Cabrera Strikeouts","Under","-245","1.5","CLE Guardians - NY Yankees"
"17","CLE Guardians","NY Yankees","Josh Donaldson Hits","Over","-165","0.5","CLE Guardians - NY Yankees"
"18","CLE Guardians","NY Yankees","Josh Donaldson Hits","Under","+125","0.5","CLE Guardians - NY Yankees"
"19","CLE Guardians","NY Yankees","Giancarlo Stanton Strikeouts","Over","+125","1.5","CLE Guardians - NY Yankees"
"20","CLE Guardians","NY Yankees","Giancarlo Stanton Strikeouts","Under","-165","1.5","CLE Guardians - NY Yankees"
"21","CLE Guardians","NY Yankees","Aaron Judge Strikeouts","Over","+160","1.5","CLE Guardians - NY Yankees"
"22","CLE Guardians","NY Yankees","Aaron Judge Strikeouts","Under","-220","1.5","CLE Guardians - NY Yankees"
"23","CLE Guardians","NY Yankees","Gleyber Torres Home Runs","Over","+650","0.5","CLE Guardians - NY Yankees"
"24","CLE Guardians","NY Yankees","Gleyber Torres Home Runs","Under","-1400","0.5","CLE Guardians - NY Yankees"
"25","CLE Guardians","NY Yankees","Gabriel Arias Strikeouts","Over","+155","1.5","CLE Guardians - NY Yankees"
"26","CLE Guardians","NY Yankees","Gabriel Arias Strikeouts","Under","-210","1.5","CLE Guardians - NY Yankees"
"27","CLE Guardians","NY Yankees","Josh Naylor Runs","Over","+175","0.5","CLE Guardians - NY Yankees"
"28","CLE Guardians","NY Yankees","Josh Naylor Runs","Under","-245","0.5","CLE Guardians - NY Yankees"
