"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHI Phillies","MIA Marlins","Sandy Alcantara Strikeouts Thrown","Over","5.5","-165","PHI Phillies - MIA Marlins"
"2","PHI Phillies","MIA Marlins","Sandy Alcantara Strikeouts Thrown","Under","5.5","+125","PHI Phillies - MIA Marlins"
"3","PHI Phillies","MIA Marlins","Bryan De La Cruz Total Bases","Over","1.5","+145","PHI Phillies - MIA Marlins"
"4","PHI Phillies","MIA Marlins","Bryan De La Cruz Total Bases","Under","1.5","-195","PHI Phillies - MIA Marlins"
"5","PHI Phillies","MIA Marlins","Jean Segura Home Runs","Over","0.5","+950","PHI Phillies - MIA Marlins"
"6","PHI Phillies","MIA Marlins","Jean Segura Home Runs","Under","0.5","-4000","PHI Phillies - MIA Marlins"
"7","PHI Phillies","MIA Marlins","Peyton Burdick Total Bases","Over","0.5","-115","PHI Phillies - MIA Marlins"
"8","PHI Phillies","MIA Marlins","Peyton Burdick Total Bases","Under","0.5","-115","PHI Phillies - MIA Marlins"
"9","PHI Phillies","MIA Marlins","JJ Bleday RBIs","Over","0.5","+165","PHI Phillies - MIA Marlins"
"10","PHI Phillies","MIA Marlins","JJ Bleday RBIs","Under","0.5","-225","PHI Phillies - MIA Marlins"
"11","PHI Phillies","MIA Marlins","Moneyline 1st 5 Innings","MIA Marlins",NA,"-120","PHI Phillies - MIA Marlins"
"12","PHI Phillies","MIA Marlins","Moneyline 1st 5 Innings","PHI Phillies",NA,"-110","PHI Phillies - MIA Marlins"
"13","PHI Phillies","MIA Marlins","Jacob Stallings Hits","Over","0.5","-140","PHI Phillies - MIA Marlins"
"14","PHI Phillies","MIA Marlins","Jacob Stallings Hits","Under","0.5","+105","PHI Phillies - MIA Marlins"
"15","PHI Phillies","MIA Marlins","PHI Phillies Score First + Win","Yes",NA,"+180","PHI Phillies - MIA Marlins"
"16","PHI Phillies","MIA Marlins","PHI Phillies Score First + Win","No",NA,"-245","PHI Phillies - MIA Marlins"
"17","PHI Phillies","MIA Marlins","Peyton Burdick Runs","Over","0.5","+190","PHI Phillies - MIA Marlins"
"18","PHI Phillies","MIA Marlins","Peyton Burdick Runs","Under","0.5","-265","PHI Phillies - MIA Marlins"
"19","PHI Phillies","MIA Marlins","Charles LeBlanc Doubles","Over","0.5","+475","PHI Phillies - MIA Marlins"
"20","PHI Phillies","MIA Marlins","Charles LeBlanc Doubles","Under","0.5","-800","PHI Phillies - MIA Marlins"
"21","PHI Phillies","MIA Marlins","Peyton Burdick RBIs","Over","0.5","+290","PHI Phillies - MIA Marlins"
"22","PHI Phillies","MIA Marlins","Peyton Burdick RBIs","Under","0.5","-425","PHI Phillies - MIA Marlins"
"23","PHI Phillies","MIA Marlins","J.T. Realmuto Home Runs","Over","0.5","+550","PHI Phillies - MIA Marlins"
"24","PHI Phillies","MIA Marlins","J.T. Realmuto Home Runs","Under","0.5","-1100","PHI Phillies - MIA Marlins"
"25","PHI Phillies","MIA Marlins","Kyle Schwarber Runs","Over","0.5","-110","PHI Phillies - MIA Marlins"
"26","PHI Phillies","MIA Marlins","Kyle Schwarber Runs","Under","0.5","-120","PHI Phillies - MIA Marlins"
"27","PHI Phillies","MIA Marlins","Joey Wendle Runs","Over","0.5","+125","PHI Phillies - MIA Marlins"
"28","PHI Phillies","MIA Marlins","Joey Wendle Runs","Under","0.5","-170","PHI Phillies - MIA Marlins"
"29","PHI Phillies","MIA Marlins","Brandon Marsh Hits","Over","0.5","-130","PHI Phillies - MIA Marlins"
"30","PHI Phillies","MIA Marlins","Brandon Marsh Hits","Under","0.5","+100","PHI Phillies - MIA Marlins"
"31","PHI Phillies","MIA Marlins","Brandon Marsh Total Bases","Over","0.5","-130","PHI Phillies - MIA Marlins"
"32","PHI Phillies","MIA Marlins","Brandon Marsh Total Bases","Under","0.5","+100","PHI Phillies - MIA Marlins"
"33","PHI Phillies","MIA Marlins","Miguel Rojas RBIs","Over","0.5","+250","PHI Phillies - MIA Marlins"
"34","PHI Phillies","MIA Marlins","Miguel Rojas RBIs","Under","0.5","-360","PHI Phillies - MIA Marlins"
"35","PHI Phillies","MIA Marlins","Nick Castellanos RBIs","Over","0.5","+185","PHI Phillies - MIA Marlins"
"36","PHI Phillies","MIA Marlins","Nick Castellanos RBIs","Under","0.5","-255","PHI Phillies - MIA Marlins"
"37","PHI Phillies","MIA Marlins","Rhys Hoskins Home Runs","Over","0.5","+380","PHI Phillies - MIA Marlins"
"38","PHI Phillies","MIA Marlins","Rhys Hoskins Home Runs","Under","0.5","-600","PHI Phillies - MIA Marlins"
"39","PHI Phillies","MIA Marlins","Total 1st 5 Innings","Over","3.5","-125","PHI Phillies - MIA Marlins"
"40","PHI Phillies","MIA Marlins","Total 1st 5 Innings","Under","3.5","-105","PHI Phillies - MIA Marlins"
"41","PHI Phillies","MIA Marlins","1st Homerun Scored","3rd Inning or Later",NA,"-120","PHI Phillies - MIA Marlins"
"42","PHI Phillies","MIA Marlins","1st Homerun Scored","1st or 2nd Inning",NA,"+175","PHI Phillies - MIA Marlins"
"43","PHI Phillies","MIA Marlins","1st Homerun Scored","No Home Run Scored",NA,"+450","PHI Phillies - MIA Marlins"
"44","PHI Phillies","MIA Marlins","Brandon Marsh RBIs","Over","0.5","+280","PHI Phillies - MIA Marlins"
"45","PHI Phillies","MIA Marlins","Brandon Marsh RBIs","Under","0.5","-425","PHI Phillies - MIA Marlins"
"46","PHI Phillies","MIA Marlins","Bryan De La Cruz Hits","Over","0.5","-200","PHI Phillies - MIA Marlins"
"47","PHI Phillies","MIA Marlins","Bryan De La Cruz Hits","Under","0.5","+150","PHI Phillies - MIA Marlins"
"48","PHI Phillies","MIA Marlins","Sandy Alcantara Hits Allowed","Over","5.5","-130","PHI Phillies - MIA Marlins"
"49","PHI Phillies","MIA Marlins","Sandy Alcantara Hits Allowed","Under","5.5","-105","PHI Phillies - MIA Marlins"
"50","PHI Phillies","MIA Marlins","Miguel Rojas Total Bases","Over","1.5","+155","PHI Phillies - MIA Marlins"
"51","PHI Phillies","MIA Marlins","Miguel Rojas Total Bases","Under","1.5","-205","PHI Phillies - MIA Marlins"
"52","PHI Phillies","MIA Marlins","Miguel Rojas Stolen Bases","Over","0.5","+330","PHI Phillies - MIA Marlins"
"53","PHI Phillies","MIA Marlins","Miguel Rojas Stolen Bases","Under","0.5","-525","PHI Phillies - MIA Marlins"
"54","PHI Phillies","MIA Marlins","Alec Bohm Singles","Over","0.5","-150","PHI Phillies - MIA Marlins"
"55","PHI Phillies","MIA Marlins","Alec Bohm Singles","Under","0.5","+110","PHI Phillies - MIA Marlins"
"56","PHI Phillies","MIA Marlins","Bryson Stott Doubles","Over","0.5","+475","PHI Phillies - MIA Marlins"
"57","PHI Phillies","MIA Marlins","Bryson Stott Doubles","Under","0.5","-800","PHI Phillies - MIA Marlins"
"58","PHI Phillies","MIA Marlins","Jean Segura Runs","Over","0.5","+180","PHI Phillies - MIA Marlins"
"59","PHI Phillies","MIA Marlins","Jean Segura Runs","Under","0.5","-250","PHI Phillies - MIA Marlins"
"60","PHI Phillies","MIA Marlins","JJ Bleday Hits","Over","0.5","-170","PHI Phillies - MIA Marlins"
"61","PHI Phillies","MIA Marlins","JJ Bleday Hits","Under","0.5","+125","PHI Phillies - MIA Marlins"
"62","PHI Phillies","MIA Marlins","Alec Bohm Total Bases","Over","1.5","+145","PHI Phillies - MIA Marlins"
"63","PHI Phillies","MIA Marlins","Alec Bohm Total Bases","Under","1.5","-195","PHI Phillies - MIA Marlins"
"64","PHI Phillies","MIA Marlins","Joey Wendle Singles","Over","0.5","-170","PHI Phillies - MIA Marlins"
"65","PHI Phillies","MIA Marlins","Joey Wendle Singles","Under","0.5","+125","PHI Phillies - MIA Marlins"
"66","PHI Phillies","MIA Marlins","Peyton Burdick Stolen Bases","Over","0.5","+1100","PHI Phillies - MIA Marlins"
