"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","MIA Marlins","ATL Braves","Jon Berti Hits","Over","0.5","+165","MIA Marlins - ATL Braves"
"2","MIA Marlins","ATL Braves","Jon Berti Hits","Under","0.5","-230","MIA Marlins - ATL Braves"
"3","MIA Marlins","ATL Braves","Charles LeBlanc Doubles","Over","0.5","+1900","MIA Marlins - ATL Braves"
"4","MIA Marlins","ATL Braves","Charles LeBlanc Doubles","Under","0.5","-5000","MIA Marlins - ATL Braves"
"5","MIA Marlins","ATL Braves","Bryan De La Cruz RBIs","Over","0.5","+550","MIA Marlins - ATL Braves"
"6","MIA Marlins","ATL Braves","Bryan De La Cruz RBIs","Under","0.5","-900","MIA Marlins - ATL Braves"
"7","MIA Marlins","ATL Braves","Peyton Burdick RBIs","Over","2.5","+1100","MIA Marlins - ATL Braves"
"8","MIA Marlins","ATL Braves","Peyton Burdick RBIs","Under","2.5","-2000","MIA Marlins - ATL Braves"
"9","MIA Marlins","ATL Braves","JJ Bleday RBIs","Over","1.5","+550","MIA Marlins - ATL Braves"
"10","MIA Marlins","ATL Braves","JJ Bleday RBIs","Under","1.5","-900","MIA Marlins - ATL Braves"
"11","MIA Marlins","ATL Braves","JJ Bleday Singles","Over","1.5","+500","MIA Marlins - ATL Braves"
"12","MIA Marlins","ATL Braves","JJ Bleday Singles","Under","1.5","-800","MIA Marlins - ATL Braves"
"13","MIA Marlins","ATL Braves","Nick Fortes Runs","Over","1.5","+550","MIA Marlins - ATL Braves"
"14","MIA Marlins","ATL Braves","Nick Fortes Runs","Under","1.5","-900","MIA Marlins - ATL Braves"
"15","MIA Marlins","ATL Braves","Jordan Groshans Runs","Over","1.5","+390","MIA Marlins - ATL Braves"
"16","MIA Marlins","ATL Braves","Jordan Groshans Runs","Under","1.5","-600","MIA Marlins - ATL Braves"
"17","MIA Marlins","ATL Braves","Charles LeBlanc Runs","Over","1.5","+850","MIA Marlins - ATL Braves"
"18","MIA Marlins","ATL Braves","Charles LeBlanc Runs","Under","1.5","-1600","MIA Marlins - ATL Braves"
"19","MIA Marlins","ATL Braves","William Contreras Hits","Over","1.5","+285","MIA Marlins - ATL Braves"
"20","MIA Marlins","ATL Braves","William Contreras Hits","Under","1.5","-400","MIA Marlins - ATL Braves"
