"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","ATL Braves","NY Mets","Starling Marte Hits","Over","0.5","-245","ATL Braves - NY Mets"
"2","ATL Braves","NY Mets","Starling Marte Hits","Under","0.5","+180","ATL Braves - NY Mets"
"3","ATL Braves","NY Mets","Michael Harris Home Runs","Over","0.5","+600","ATL Braves - NY Mets"
"4","ATL Braves","NY Mets","Michael Harris Home Runs","Under","0.5","-1200","ATL Braves - NY Mets"
"5","ATL Braves","NY Mets","Robbie Grossman Hits","Over","0.5","-145","ATL Braves - NY Mets"
"6","ATL Braves","NY Mets","Robbie Grossman Hits","Under","0.5","+110","ATL Braves - NY Mets"
"7","ATL Braves","NY Mets","Francisco Lindor RBIs","Over","0.5","+175","ATL Braves - NY Mets"
"8","ATL Braves","NY Mets","Francisco Lindor RBIs","Under","0.5","-240","ATL Braves - NY Mets"
"9","ATL Braves","NY Mets","Austin Riley Total Bases","Over","1.5","-120","ATL Braves - NY Mets"
"10","ATL Braves","NY Mets","Austin Riley Total Bases","Under","1.5","-110","ATL Braves - NY Mets"
"11","ATL Braves","NY Mets","Austin Riley Hits","Over","1.5","+175","ATL Braves - NY Mets"
"12","ATL Braves","NY Mets","Austin Riley Hits","Under","1.5","-245","ATL Braves - NY Mets"
"13","ATL Braves","NY Mets","Michael Harris Doubles","Over","0.5","+400","ATL Braves - NY Mets"
"14","ATL Braves","NY Mets","Michael Harris Doubles","Under","0.5","-650","ATL Braves - NY Mets"
"15","ATL Braves","NY Mets","Winning Margin","To Win By 1 Run",NA,"+700","ATL Braves - NY Mets"
"16","ATL Braves","NY Mets","Winning Margin","To Win By 2 Runs",NA,"+900","ATL Braves - NY Mets"
"17","ATL Braves","NY Mets","Winning Margin","To Win By 3 Runs",NA,"+1200","ATL Braves - NY Mets"
"18","ATL Braves","NY Mets","Winning Margin","To Win By 4 Runs Or More",NA,"+500","ATL Braves - NY Mets"
"19","ATL Braves","NY Mets","Winning Margin","To Win By 1 Run",NA,"+390","ATL Braves - NY Mets"
"20","ATL Braves","NY Mets","Winning Margin","To Win By 2 Runs",NA,"+700","ATL Braves - NY Mets"
"21","ATL Braves","NY Mets","Winning Margin","To Win By 3 Runs",NA,"+950","ATL Braves - NY Mets"
"22","ATL Braves","NY Mets","Winning Margin","To Win By 4 Runs Or More",NA,"+310","ATL Braves - NY Mets"
"23","ATL Braves","NY Mets","Inning of First Score","1st Inning",NA,"-120","ATL Braves - NY Mets"
"24","ATL Braves","NY Mets","Inning of First Score","2nd Inning",NA,"+270","ATL Braves - NY Mets"
"25","ATL Braves","NY Mets","Inning of First Score","3rd Inning",NA,"+600","ATL Braves - NY Mets"
"26","ATL Braves","NY Mets","Inning of First Score","4th Inning",NA,"+1100","ATL Braves - NY Mets"
