"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHI Phillies","HOU Astros","Rhys Hoskins Doubles","Over","0.5","+475","PHI Phillies - HOU Astros"
"2","PHI Phillies","HOU Astros","Rhys Hoskins Doubles","Under","0.5","-800","PHI Phillies - HOU Astros"
"3","PHI Phillies","HOU Astros","J.T. Realmuto Singles","Over","0.5","+100","PHI Phillies - HOU Astros"
"4","PHI Phillies","HOU Astros","J.T. Realmuto Singles","Under","0.5","-135","PHI Phillies - HOU Astros"
"5","PHI Phillies","HOU Astros","Kyle Schwarber or Alec Bohm to record a Double","Yes",NA,"+240","PHI Phillies - HOU Astros"
"6","PHI Phillies","HOU Astros","Kyle Schwarber or Alec Bohm to record a Double","No",NA,"-310","PHI Phillies - HOU Astros"
"7","PHI Phillies","HOU Astros","Nick Castellanos Hits","Over","0.5","-165","PHI Phillies - HOU Astros"
"8","PHI Phillies","HOU Astros","Nick Castellanos Hits","Under","0.5","+120","PHI Phillies - HOU Astros"
"9","PHI Phillies","HOU Astros","Rhys Hoskins Home Runs","Over","0.5","+425","PHI Phillies - HOU Astros"
"10","PHI Phillies","HOU Astros","Rhys Hoskins Home Runs","Under","0.5","-750","PHI Phillies - HOU Astros"
"11","PHI Phillies","HOU Astros","Chas McCormick Stolen Bases","Over","0.5","+750","PHI Phillies - HOU Astros"
"12","PHI Phillies","HOU Astros","Chas McCormick Stolen Bases","Under","0.5","-1800","PHI Phillies - HOU Astros"
"13","PHI Phillies","HOU Astros","Alec Bohm Strikeouts","Over","0.5","-160","PHI Phillies - HOU Astros"
"14","PHI Phillies","HOU Astros","Alec Bohm Strikeouts","Under","0.5","+120","PHI Phillies - HOU Astros"
"15","PHI Phillies","HOU Astros","Alex Bregman Hits","Over","0.5","-210","PHI Phillies - HOU Astros"
"16","PHI Phillies","HOU Astros","Alex Bregman Hits","Under","0.5","+155","PHI Phillies - HOU Astros"
"17","PHI Phillies","HOU Astros","Jeremy Pena Home Runs","Over","0.5","+750","PHI Phillies - HOU Astros"
"18","PHI Phillies","HOU Astros","Jeremy Pena Home Runs","Under","0.5","-2000","PHI Phillies - HOU Astros"
"19","PHI Phillies","HOU Astros","Bryson Stott Total Bases","Over","0.5","-130","PHI Phillies - HOU Astros"
"20","PHI Phillies","HOU Astros","Bryson Stott Total Bases","Under","0.5","-105","PHI Phillies - HOU Astros"
"21","PHI Phillies","HOU Astros","Top of 1st – Total Strikeouts","0",NA,"+120","PHI Phillies - HOU Astros"
"22","PHI Phillies","HOU Astros","Top of 1st – Total Strikeouts","1",NA,"+140","PHI Phillies - HOU Astros"
"23","PHI Phillies","HOU Astros","Top of 1st – Total Strikeouts","2",NA,"+600","PHI Phillies - HOU Astros"
"24","PHI Phillies","HOU Astros","Top of 1st – Total Strikeouts","3+",NA,"+2200","PHI Phillies - HOU Astros"
