"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHI Phillies","ATL Braves","Eddie Rosario Runs","Over","0.5","+340","PHI Phillies - ATL Braves"
"2","PHI Phillies","ATL Braves","Eddie Rosario Runs","Under","0.5","-500","PHI Phillies - ATL Braves"
"3","PHI Phillies","ATL Braves","Travis d'Arnaud Home Runs","Over","0.5","+850","PHI Phillies - ATL Braves"
"4","PHI Phillies","ATL Braves","Travis d'Arnaud Home Runs","Under","0.5","-1600","PHI Phillies - ATL Braves"
"5","PHI Phillies","ATL Braves","Kyle Schwarber Total Bases","Over","0.5","+110","PHI Phillies - ATL Braves"
"6","PHI Phillies","ATL Braves","Kyle Schwarber Total Bases","Under","0.5","-150","PHI Phillies - ATL Braves"
"7","PHI Phillies","ATL Braves","Dansby Swanson Hits","Over","0.5","+125","PHI Phillies - ATL Braves"
"8","PHI Phillies","ATL Braves","Dansby Swanson Hits","Under","0.5","-170","PHI Phillies - ATL Braves"
"9","PHI Phillies","ATL Braves","PHI Phillies Pitches Thrown - 4th Inning","Over","14.5","-110","PHI Phillies - ATL Braves"
"10","PHI Phillies","ATL Braves","PHI Phillies Pitches Thrown - 4th Inning","Under","14.5","-120","PHI Phillies - ATL Braves"
"11","PHI Phillies","ATL Braves","Bryson Stott - 2nd Plate Appearance - 3rd Inning - Grouped Result (vs. Dylan Lee)","Out",NA,"-330","PHI Phillies - ATL Braves"
"12","PHI Phillies","ATL Braves","Bryson Stott - 2nd Plate Appearance - 3rd Inning - Grouped Result (vs. Dylan Lee)","Hit",NA,"+340","PHI Phillies - ATL Braves"
"13","PHI Phillies","ATL Braves","Bryson Stott - 2nd Plate Appearance - 3rd Inning - Grouped Result (vs. Dylan Lee)","Walk/Hit by Pitch",NA,"+650","PHI Phillies - ATL Braves"
"14","PHI Phillies","ATL Braves","Ronald Acuna Jr. Runs","Over","0.5","+310","PHI Phillies - ATL Braves"
"15","PHI Phillies","ATL Braves","Ronald Acuna Jr. Runs","Under","0.5","-450","PHI Phillies - ATL Braves"
"16","PHI Phillies","ATL Braves","Marcell Ozuna Total Bases","Over","0.5","+110","PHI Phillies - ATL Braves"
"17","PHI Phillies","ATL Braves","Marcell Ozuna Total Bases","Under","0.5","-145","PHI Phillies - ATL Braves"
"18","PHI Phillies","ATL Braves","Travis d'Arnaud Runs","Over","0.5","+255","PHI Phillies - ATL Braves"
"19","PHI Phillies","ATL Braves","Travis d'Arnaud Runs","Under","0.5","-360","PHI Phillies - ATL Braves"
"20","PHI Phillies","ATL Braves","7th Run","ATL Braves",NA,"-105","PHI Phillies - ATL Braves"
"21","PHI Phillies","ATL Braves","7th Run","None",NA,"+1600","PHI Phillies - ATL Braves"
"22","PHI Phillies","ATL Braves","7th Run","PHI Phillies",NA,"-105","PHI Phillies - ATL Braves"
"23","PHI Phillies","ATL Braves","Ronald Acuna Jr. Stolen Bases","Over","0.5","+2200","PHI Phillies - ATL Braves"
"24","PHI Phillies","ATL Braves","Ronald Acuna Jr. Stolen Bases","Under","0.5","-6000","PHI Phillies - ATL Braves"
"25","PHI Phillies","ATL Braves","Kyle Schwarber Stolen Bases","Over","0.5","+2200","PHI Phillies - ATL Braves"
"26","PHI Phillies","ATL Braves","Kyle Schwarber Stolen Bases","Under","0.5","-8000","PHI Phillies - ATL Braves"
"27","PHI Phillies","ATL Braves","Rhys Hoskins Walks","Over","0.5","+285","PHI Phillies - ATL Braves"
"28","PHI Phillies","ATL Braves","Rhys Hoskins Walks","Under","0.5","-425","PHI Phillies - ATL Braves"
"29","PHI Phillies","ATL Braves","Eddie Rosario Hits","Over","0.5","+130","PHI Phillies - ATL Braves"
"30","PHI Phillies","ATL Braves","Eddie Rosario Hits","Under","0.5","-175","PHI Phillies - ATL Braves"
"31","PHI Phillies","ATL Braves","PHI Phillies: Team Total Runs","Over","7.5","-145","PHI Phillies - ATL Braves"
"32","PHI Phillies","ATL Braves","PHI Phillies: Team Total Runs","Under","7.5","+115","PHI Phillies - ATL Braves"
"33","PHI Phillies","ATL Braves","Michael Harris RBIs","Over","0.5","+370","PHI Phillies - ATL Braves"
"34","PHI Phillies","ATL Braves","Michael Harris RBIs","Under","0.5","-550","PHI Phillies - ATL Braves"
"35","PHI Phillies","ATL Braves","Brandon Marsh Total Bases","Over","0.5","+120","PHI Phillies - ATL Braves"
"36","PHI Phillies","ATL Braves","Brandon Marsh Total Bases","Under","0.5","-160","PHI Phillies - ATL Braves"
"37","PHI Phillies","ATL Braves","Alec Bohm Hits","Over","0.5","+110","PHI Phillies - ATL Braves"
"38","PHI Phillies","ATL Braves","Alec Bohm Hits","Under","0.5","-150","PHI Phillies - ATL Braves"
"39","PHI Phillies","ATL Braves","Vaughn Grissom Home Runs","Over","0.5","+1400","PHI Phillies - ATL Braves"
"40","PHI Phillies","ATL Braves","Vaughn Grissom Home Runs","Under","0.5","-3000","PHI Phillies - ATL Braves"
"41","PHI Phillies","ATL Braves","Alec Bohm Singles","Over","0.5","+165","PHI Phillies - ATL Braves"
"42","PHI Phillies","ATL Braves","Alec Bohm Singles","Under","0.5","-225","PHI Phillies - ATL Braves"
"43","PHI Phillies","ATL Braves","Michael Harris Hits + Runs + RBIs","Over","0.5","-140","PHI Phillies - ATL Braves"
"44","PHI Phillies","ATL Braves","Michael Harris Hits + Runs + RBIs","Under","0.5","+105","PHI Phillies - ATL Braves"
"45","PHI Phillies","ATL Braves","Bryce Harper Hits + Runs + RBIs","Over","4.5","-130","PHI Phillies - ATL Braves"
"46","PHI Phillies","ATL Braves","Bryce Harper Hits + Runs + RBIs","Under","4.5","-105","PHI Phillies - ATL Braves"
"47","PHI Phillies","ATL Braves","J.T. Realmuto Total Bases","Over","1.5","+100","PHI Phillies - ATL Braves"
"48","PHI Phillies","ATL Braves","J.T. Realmuto Total Bases","Under","1.5","-140","PHI Phillies - ATL Braves"
"49","PHI Phillies","ATL Braves","Ronald Acuna Jr. Singles","Over","1.5","+220","PHI Phillies - ATL Braves"
"50","PHI Phillies","ATL Braves","Ronald Acuna Jr. Singles","Under","1.5","-310","PHI Phillies - ATL Braves"
"51","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","4",NA,"+330","PHI Phillies - ATL Braves"
"52","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","3",NA,"+370","PHI Phillies - ATL Braves"
"53","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","5",NA,"+380","PHI Phillies - ATL Braves"
"54","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","2",NA,"+500","PHI Phillies - ATL Braves"
"55","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","6",NA,"+600","PHI Phillies - ATL Braves"
"56","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","7+",NA,"+800","PHI Phillies - ATL Braves"
"57","PHI Phillies","ATL Braves","Bryson Stott 2nd Plate Appearance - 3rd Inning - Pitch Count (vs. Dylan Lee)","1",NA,"+800","PHI Phillies - ATL Braves"
"58","PHI Phillies","ATL Braves","Travis d'Arnaud RBIs","Over","0.5","+425","PHI Phillies - ATL Braves"
"59","PHI Phillies","ATL Braves","Travis d'Arnaud RBIs","Under","0.5","-650","PHI Phillies - ATL Braves"
"60","PHI Phillies","ATL Braves","Kyle Schwarber Home Runs","Over","0.5","+400","PHI Phillies - ATL Braves"
"61","PHI Phillies","ATL Braves","Kyle Schwarber Home Runs","Under","0.5","-650","PHI Phillies - ATL Braves"
"62","PHI Phillies","ATL Braves","Vaughn Grissom Runs","Over","0.5","+370","PHI Phillies - ATL Braves"
"63","PHI Phillies","ATL Braves","Vaughn Grissom Runs","Under","0.5","-550","PHI Phillies - ATL Braves"
"64","PHI Phillies","ATL Braves","Nick Castellanos Hits + Runs + RBIs","Over","1.5","-110","PHI Phillies - ATL Braves"
"65","PHI Phillies","ATL Braves","Nick Castellanos Hits + Runs + RBIs","Under","1.5","-120","PHI Phillies - ATL Braves"
"66","PHI Phillies","ATL Braves","Bryson Stott - 2nd Plate Appearance - 3rd Inning - On Base (vs. Dylan Lee)","Yes",NA,"+215","PHI Phillies - ATL Braves"
"67","PHI Phillies","ATL Braves","Bryson Stott - 2nd Plate Appearance - 3rd Inning - On Base (vs. Dylan Lee)","No",NA,"-300","PHI Phillies - ATL Braves"
"68","PHI Phillies","ATL Braves","Bryce Harper Total Bases","Over","4.5","+100","PHI Phillies - ATL Braves"
"69","PHI Phillies","ATL Braves","Bryce Harper Total Bases","Under","4.5","-135","PHI Phillies - ATL Braves"
