"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","NY Mets","LA Dodgers","5th Inning (3 Way)","Tie","-900",NA,"NY Mets - LA Dodgers"
"2","NY Mets","LA Dodgers","5th Inning (3 Way)","NY Mets","+550",NA,"NY Mets - LA Dodgers"
"3","NY Mets","LA Dodgers","James McCann Hits","Over","+130","0.5","NY Mets - LA Dodgers"
"4","NY Mets","LA Dodgers","James McCann Hits","Under","-180","0.5","NY Mets - LA Dodgers"
"5","NY Mets","LA Dodgers","Darin Ruf Total Bases","Over","+215","0.5","NY Mets - LA Dodgers"
"6","NY Mets","LA Dodgers","Darin Ruf Total Bases","Under","-300","0.5","NY Mets - LA Dodgers"
"7","NY Mets","LA Dodgers","Chris Taylor Runs","Over","+425","0.5","NY Mets - LA Dodgers"
"8","NY Mets","LA Dodgers","Chris Taylor Runs","Under","-650","0.5","NY Mets - LA Dodgers"
"9","NY Mets","LA Dodgers","Chris Bassitt Strikeouts Thrown","Over","-205","2.5","NY Mets - LA Dodgers"
"10","NY Mets","LA Dodgers","Chris Bassitt Strikeouts Thrown","Under","+150","2.5","NY Mets - LA Dodgers"
"11","NY Mets","LA Dodgers","Race to 4 Runs","LA Dodgers","-105",NA,"NY Mets - LA Dodgers"
"12","NY Mets","LA Dodgers","Race to 4 Runs","Neither","+190",NA,"NY Mets - LA Dodgers"
"13","NY Mets","LA Dodgers","Race to 4 Runs","NY Mets","+340",NA,"NY Mets - LA Dodgers"
"14","NY Mets","LA Dodgers","Starling Marte Stolen Bases","Over","+1000","0.5","NY Mets - LA Dodgers"
"15","NY Mets","LA Dodgers","Starling Marte Stolen Bases","Under","-2000","0.5","NY Mets - LA Dodgers"
"16","NY Mets","LA Dodgers","Chris Taylor RBIs","Over","+600","2.5","NY Mets - LA Dodgers"
"17","NY Mets","LA Dodgers","Chris Taylor RBIs","Under","-1000","2.5","NY Mets - LA Dodgers"
"18","NY Mets","LA Dodgers","Mark Canha RBIs","Over","+475","1.5","NY Mets - LA Dodgers"
"19","NY Mets","LA Dodgers","Mark Canha RBIs","Under","-750","1.5","NY Mets - LA Dodgers"
"20","NY Mets","LA Dodgers","Brandon Nimmo Runs","Over","+320","0.5","NY Mets - LA Dodgers"
"21","NY Mets","LA Dodgers","Brandon Nimmo Runs","Under","-475","0.5","NY Mets - LA Dodgers"
"22","NY Mets","LA Dodgers","Max Muncy Runs","Over","+265","0.5","NY Mets - LA Dodgers"
"23","NY Mets","LA Dodgers","Max Muncy Runs","Under","-380","0.5","NY Mets - LA Dodgers"
"24","NY Mets","LA Dodgers","Mookie Betts Stolen Bases","Over","+1500","0.5","NY Mets - LA Dodgers"
"25","NY Mets","LA Dodgers","Mookie Betts Stolen Bases","Under","-3500","0.5","NY Mets - LA Dodgers"
"26","NY Mets","LA Dodgers","Freddie Freeman Home Runs","Over","+900","0.5","NY Mets - LA Dodgers"
"27","NY Mets","LA Dodgers","Freddie Freeman Home Runs","Under","-1600","0.5","NY Mets - LA Dodgers"
"28","NY Mets","LA Dodgers","Brandon Nimmo Total Bases","Over","+115","0.5","NY Mets - LA Dodgers"
"29","NY Mets","LA Dodgers","Brandon Nimmo Total Bases","Under","-155","0.5","NY Mets - LA Dodgers"
"30","NY Mets","LA Dodgers","Darin Ruf Singles","Over","+390","0.5","NY Mets - LA Dodgers"
"31","NY Mets","LA Dodgers","Darin Ruf Singles","Under","-600","0.5","NY Mets - LA Dodgers"
"32","NY Mets","LA Dodgers","NY Mets Home Run - 5th Inning?","Yes","+950",NA,"NY Mets - LA Dodgers"
"33","NY Mets","LA Dodgers","NY Mets Home Run - 5th Inning?","No","-4000",NA,"NY Mets - LA Dodgers"
"34","NY Mets","LA Dodgers","NY Mets: Team Total Runs","Over","-115","2.5","NY Mets - LA Dodgers"
"35","NY Mets","LA Dodgers","NY Mets: Team Total Runs","Under","-115","2.5","NY Mets - LA Dodgers"
"36","NY Mets","LA Dodgers","Starling Marte - 3rd Plate Appearance - 5th Inning - Grouped Result (vs. Clayton Kershaw)","Out","-310",NA,"NY Mets - LA Dodgers"
"37","NY Mets","LA Dodgers","Starling Marte - 3rd Plate Appearance - 5th Inning - Grouped Result (vs. Clayton Kershaw)","Hit","+260",NA,"NY Mets - LA Dodgers"
"38","NY Mets","LA Dodgers","Starling Marte - 3rd Plate Appearance - 5th Inning - Grouped Result (vs. Clayton Kershaw)","Walk/Hit by Pitch","+900",NA,"NY Mets - LA Dodgers"
"39","NY Mets","LA Dodgers","Gavin Lux Total Bases","Over","+170","1.5","NY Mets - LA Dodgers"
"40","NY Mets","LA Dodgers","Gavin Lux Total Bases","Under","-235","1.5","NY Mets - LA Dodgers"
"41","NY Mets","LA Dodgers","Francisco Lindor Singles","Over","+220","1.5","NY Mets - LA Dodgers"
