"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","MIN Twins","CLE Guardians","Nick Gordon Hits","Over","0.5","-195","MIN Twins - CLE Guardians"
"2","MIN Twins","CLE Guardians","Nick Gordon Hits","Under","0.5","+145","MIN Twins - CLE Guardians"
"3","MIN Twins","CLE Guardians","Carlos Correa Doubles","Over","0.5","+370","MIN Twins - CLE Guardians"
"4","MIN Twins","CLE Guardians","Carlos Correa Doubles","Under","0.5","-600","MIN Twins - CLE Guardians"
"5","MIN Twins","CLE Guardians","Luke Maile Home Runs","Over","0.5","+1000","MIN Twins - CLE Guardians"
"6","MIN Twins","CLE Guardians","Luke Maile Home Runs","Under","0.5","-4000","MIN Twins - CLE Guardians"
"7","MIN Twins","CLE Guardians","Chris Archer Hits Allowed","Over","4.5","+110","MIN Twins - CLE Guardians"
"8","MIN Twins","CLE Guardians","Chris Archer Hits Allowed","Under","4.5","-145","MIN Twins - CLE Guardians"
"9","MIN Twins","CLE Guardians","Jose Ramirez Runs","Over","0.5","+105","MIN Twins - CLE Guardians"
"10","MIN Twins","CLE Guardians","Jose Ramirez Runs","Under","0.5","-135","MIN Twins - CLE Guardians"
"11","MIN Twins","CLE Guardians","Triston McKenzie Strikeouts Thrown","Over","5.5","-110","MIN Twins - CLE Guardians"
"12","MIN Twins","CLE Guardians","Triston McKenzie Strikeouts Thrown","Under","5.5","-120","MIN Twins - CLE Guardians"
"13","MIN Twins","CLE Guardians","Carlos Correa Home Runs","Over","0.5","+450","MIN Twins - CLE Guardians"
"14","MIN Twins","CLE Guardians","Carlos Correa Home Runs","Under","0.5","-750","MIN Twins - CLE Guardians"
"15","MIN Twins","CLE Guardians","Luke Maile Runs","Over","0.5","+185","MIN Twins - CLE Guardians"
"16","MIN Twins","CLE Guardians","Luke Maile Runs","Under","0.5","-255","MIN Twins - CLE Guardians"
"17","MIN Twins","CLE Guardians","Race to 3 Runs","CLE Guardians",NA,"-125","MIN Twins - CLE Guardians"
"18","MIN Twins","CLE Guardians","Race to 3 Runs","Neither",NA,"+700","MIN Twins - CLE Guardians"
"19","MIN Twins","CLE Guardians","Race to 3 Runs","MIN Twins",NA,"+140","MIN Twins - CLE Guardians"
"20","MIN Twins","CLE Guardians","Max Kepler Hits","Over","0.5","-195","MIN Twins - CLE Guardians"
"21","MIN Twins","CLE Guardians","Max Kepler Hits","Under","0.5","+145","MIN Twins - CLE Guardians"
"22","MIN Twins","CLE Guardians","Luis Arraez Total Bases","Over","1.5","+135","MIN Twins - CLE Guardians"
"23","MIN Twins","CLE Guardians","Luis Arraez Total Bases","Under","1.5","-180","MIN Twins - CLE Guardians"
"24","MIN Twins","CLE Guardians","Kyle Garlick Singles","Over","0.5","+200","MIN Twins - CLE Guardians"
"25","MIN Twins","CLE Guardians","Kyle Garlick Singles","Under","0.5","-280","MIN Twins - CLE Guardians"
"26","MIN Twins","CLE Guardians","Triston McKenzie Walks Allowed","Over","1.5","-125","MIN Twins - CLE Guardians"
"27","MIN Twins","CLE Guardians","Triston McKenzie Walks Allowed","Under","1.5","-105","MIN Twins - CLE Guardians"
"28","MIN Twins","CLE Guardians","Race to 6 Runs","CLE Guardians",NA,"+230","MIN Twins - CLE Guardians"
"29","MIN Twins","CLE Guardians","Race to 6 Runs","Neither",NA,"-145","MIN Twins - CLE Guardians"
"30","MIN Twins","CLE Guardians","Race to 6 Runs","MIN Twins",NA,"+400","MIN Twins - CLE Guardians"
"31","MIN Twins","CLE Guardians","Josh Naylor Home Runs","Over","0.5","+450","MIN Twins - CLE Guardians"
"32","MIN Twins","CLE Guardians","Josh Naylor Home Runs","Under","0.5","-800","MIN Twins - CLE Guardians"
"33","MIN Twins","CLE Guardians","Kyle Garlick Total Bases","Over","0.5","-115","MIN Twins - CLE Guardians"
"34","MIN Twins","CLE Guardians","Kyle Garlick Total Bases","Under","0.5","-115","MIN Twins - CLE Guardians"
"35","MIN Twins","CLE Guardians","Josh Naylor Runs","Over","0.5","+115","MIN Twins - CLE Guardians"
"36","MIN Twins","CLE Guardians","Josh Naylor Runs","Under","0.5","-155","MIN Twins - CLE Guardians"
"37","MIN Twins","CLE Guardians","Carlos Correa RBIs","Over","0.5","+185","MIN Twins - CLE Guardians"
"38","MIN Twins","CLE Guardians","Carlos Correa RBIs","Under","0.5","-255","MIN Twins - CLE Guardians"
"39","MIN Twins","CLE Guardians","Steven Kwan Singles","Over","0.5","-130","MIN Twins - CLE Guardians"
"40","MIN Twins","CLE Guardians","Steven Kwan Singles","Under","0.5","+100","MIN Twins - CLE Guardians"
"41","MIN Twins","CLE Guardians","Max Kepler RBIs","Over","0.5","+180","MIN Twins - CLE Guardians"
"42","MIN Twins","CLE Guardians","Max Kepler RBIs","Under","0.5","-245","MIN Twins - CLE Guardians"
"43","MIN Twins","CLE Guardians","CLE Guardians: Team Total Runs - 1st 5 Innings","Over","1.5","-135","MIN Twins - CLE Guardians"
"44","MIN Twins","CLE Guardians","CLE Guardians: Team Total Runs - 1st 5 Innings","Under","1.5","+115","MIN Twins - CLE Guardians"
"45","MIN Twins","CLE Guardians","Nick Gordon Total Bases","Over","1.5","+140","MIN Twins - CLE Guardians"
"46","MIN Twins","CLE Guardians","Nick Gordon Total Bases","Under","1.5","-185","MIN Twins - CLE Guardians"
"47","MIN Twins","CLE Guardians","Gary Sanchez Total Bases","Over","0.5","-115","MIN Twins - CLE Guardians"
"48","MIN Twins","CLE Guardians","Gary Sanchez Total Bases","Under","0.5","-115","MIN Twins - CLE Guardians"
"49","MIN Twins","CLE Guardians","Amed Rosario RBIs","Over","0.5","+180","MIN Twins - CLE Guardians"
"50","MIN Twins","CLE Guardians","Amed Rosario RBIs","Under","0.5","-245","MIN Twins - CLE Guardians"
"51","MIN Twins","CLE Guardians","Gary Sanchez Home Runs","Over","0.5","+425","MIN Twins - CLE Guardians"
"52","MIN Twins","CLE Guardians","Gary Sanchez Home Runs","Under","0.5","-750","MIN Twins - CLE Guardians"
"53","MIN Twins","CLE Guardians","1st Run","CLE Guardians",NA,"-175","MIN Twins - CLE Guardians"
