"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","BOS Red Sox","TOR Blue Jays","Jarren Duran Total Bases","Over","0.5","-160","BOS Red Sox - TOR Blue Jays"
"2","BOS Red Sox","TOR Blue Jays","Jarren Duran Total Bases","Under","0.5","+120","BOS Red Sox - TOR Blue Jays"
"3","BOS Red Sox","TOR Blue Jays","Lourdes Gurriel Jr. Hits","Over","1.5","+145","BOS Red Sox - TOR Blue Jays"
"4","BOS Red Sox","TOR Blue Jays","Lourdes Gurriel Jr. Hits","Under","1.5","-200","BOS Red Sox - TOR Blue Jays"
"5","BOS Red Sox","TOR Blue Jays","Franchy Cordero Runs","Over","0.5","+145","BOS Red Sox - TOR Blue Jays"
"6","BOS Red Sox","TOR Blue Jays","Franchy Cordero Runs","Under","0.5","-195","BOS Red Sox - TOR Blue Jays"
"7","BOS Red Sox","TOR Blue Jays","Bo Bichette Home Runs","Over","0.5","+500","BOS Red Sox - TOR Blue Jays"
"8","BOS Red Sox","TOR Blue Jays","Bo Bichette Home Runs","Under","0.5","-900","BOS Red Sox - TOR Blue Jays"
"9","BOS Red Sox","TOR Blue Jays","Jarren Duran Home Runs","Over","0.5","+800","BOS Red Sox - TOR Blue Jays"
"10","BOS Red Sox","TOR Blue Jays","Jarren Duran Home Runs","Under","0.5","-2500","BOS Red Sox - TOR Blue Jays"
"11","BOS Red Sox","TOR Blue Jays","Alejandro Kirk Doubles","Over","0.5","+310","BOS Red Sox - TOR Blue Jays"
"12","BOS Red Sox","TOR Blue Jays","Alejandro Kirk Doubles","Under","0.5","-475","BOS Red Sox - TOR Blue Jays"
"13","BOS Red Sox","TOR Blue Jays","Jackie Bradley Jr. RBIs","Over","0.5","+195","BOS Red Sox - TOR Blue Jays"
"14","BOS Red Sox","TOR Blue Jays","Jackie Bradley Jr. RBIs","Under","0.5","-275","BOS Red Sox - TOR Blue Jays"
"15","BOS Red Sox","TOR Blue Jays","Race to 3 Runs","TOR Blue Jays",NA,"-165","BOS Red Sox - TOR Blue Jays"
"16","BOS Red Sox","TOR Blue Jays","Race to 3 Runs","Neither",NA,"+1400","BOS Red Sox - TOR Blue Jays"
"17","BOS Red Sox","TOR Blue Jays","Race to 3 Runs","BOS Red Sox",NA,"+150","BOS Red Sox - TOR Blue Jays"
"18","BOS Red Sox","TOR Blue Jays","Teoscar Hernandez Hits","Over","1.5","+190","BOS Red Sox - TOR Blue Jays"
"19","BOS Red Sox","TOR Blue Jays","Teoscar Hernandez Hits","Under","1.5","-260","BOS Red Sox - TOR Blue Jays"
"20","BOS Red Sox","TOR Blue Jays","Jackie Bradley Jr. Runs","Over","0.5","+120","BOS Red Sox - TOR Blue Jays"
"21","BOS Red Sox","TOR Blue Jays","Jackie Bradley Jr. Runs","Under","0.5","-160","BOS Red Sox - TOR Blue Jays"
"22","BOS Red Sox","TOR Blue Jays","Jose Berrios Walks","Over","1.5","+155","BOS Red Sox - TOR Blue Jays"
"23","BOS Red Sox","TOR Blue Jays","Jose Berrios Walks","Under","1.5","-215","BOS Red Sox - TOR Blue Jays"
"24","BOS Red Sox","TOR Blue Jays","Franchy Cordero Hits","Over","0.5","-200","BOS Red Sox - TOR Blue Jays"
"25","BOS Red Sox","TOR Blue Jays","Franchy Cordero Hits","Under","0.5","+145","BOS Red Sox - TOR Blue Jays"
"26","BOS Red Sox","TOR Blue Jays","Bo Bichette Doubles","Over","0.5","+270","BOS Red Sox - TOR Blue Jays"
"27","BOS Red Sox","TOR Blue Jays","Bo Bichette Doubles","Under","0.5","-400","BOS Red Sox - TOR Blue Jays"
"28","BOS Red Sox","TOR Blue Jays","Race to 4 Runs","TOR Blue Jays",NA,"-145","BOS Red Sox - TOR Blue Jays"
"29","BOS Red Sox","TOR Blue Jays","Race to 4 Runs","Neither",NA,"+600","BOS Red Sox - TOR Blue Jays"
"30","BOS Red Sox","TOR Blue Jays","Race to 4 Runs","BOS Red Sox",NA,"+175","BOS Red Sox - TOR Blue Jays"
"31","BOS Red Sox","TOR Blue Jays","Brayan Bello Walks","Over","1.5","-145","BOS Red Sox - TOR Blue Jays"
"32","BOS Red Sox","TOR Blue Jays","Brayan Bello Walks","Under","1.5","+110","BOS Red Sox - TOR Blue Jays"
"33","BOS Red Sox","TOR Blue Jays","Alejandro Kirk Runs","Over","0.5","-110","BOS Red Sox - TOR Blue Jays"
"34","BOS Red Sox","TOR Blue Jays","Alejandro Kirk Runs","Under","0.5","-120","BOS Red Sox - TOR Blue Jays"
"35","BOS Red Sox","TOR Blue Jays","Whit Merrifield Home Runs","Over","0.5","+800","BOS Red Sox - TOR Blue Jays"
"36","BOS Red Sox","TOR Blue Jays","Whit Merrifield Home Runs","Under","0.5","-2500","BOS Red Sox - TOR Blue Jays"
"37","BOS Red Sox","TOR Blue Jays","J.D. Martinez RBIs","Over","0.5","+165","BOS Red Sox - TOR Blue Jays"
"38","BOS Red Sox","TOR Blue Jays","J.D. Martinez RBIs","Under","0.5","-225","BOS Red Sox - TOR Blue Jays"
"39","BOS Red Sox","TOR Blue Jays","Bo Bichette Stolen Bases","Over","0.5","+1000","BOS Red Sox - TOR Blue Jays"
"40","BOS Red Sox","TOR Blue Jays","Bo Bichette Stolen Bases","Under","0.5","-4000","BOS Red Sox - TOR Blue Jays"
"41","BOS Red Sox","TOR Blue Jays","Jarren Duran Singles","Over","0.5","+130","BOS Red Sox - TOR Blue Jays"
"42","BOS Red Sox","TOR Blue Jays","Jarren Duran Singles","Under","0.5","-175","BOS Red Sox - TOR Blue Jays"
"43","BOS Red Sox","TOR Blue Jays","Rafael Devers Total Bases","Over","1.5","-120","BOS Red Sox - TOR Blue Jays"
"44","BOS Red Sox","TOR Blue Jays","Rafael Devers Total Bases","Under","1.5","-110","BOS Red Sox - TOR Blue Jays"
"45","BOS Red Sox","TOR Blue Jays","Whit Merrifield Stolen Bases","Over","0.5","+650","BOS Red Sox - TOR Blue Jays"
"46","BOS Red Sox","TOR Blue Jays","Whit Merrifield Stolen Bases","Under","0.5","-1400","BOS Red Sox - TOR Blue Jays"
"47","BOS Red Sox","TOR Blue Jays","BOS Red Sox to Bat Bottom of 9th","Yes",NA,"-255","BOS Red Sox - TOR Blue Jays"
"48","BOS Red Sox","TOR Blue Jays","BOS Red Sox to Bat Bottom of 9th","No",NA,"+185","BOS Red Sox - TOR Blue Jays"
"49","BOS Red Sox","TOR Blue Jays","Whit Merrifield Hits","Over","0.5","-255","BOS Red Sox - TOR Blue Jays"
"50","BOS Red Sox","TOR Blue Jays","Whit Merrifield Hits","Under","0.5","+185","BOS Red Sox - TOR Blue Jays"
"51","BOS Red Sox","TOR Blue Jays","Will Jose Berrios Record a Win?","Yes",NA,"+120","BOS Red Sox - TOR Blue Jays"
"52","BOS Red Sox","TOR Blue Jays","Will Jose Berrios Record a Win?","No",NA,"-160","BOS Red Sox - TOR Blue Jays"
"53","BOS Red Sox","TOR Blue Jays","Kiké Hernandez Doubles","Over","0.5","+290","BOS Red Sox - TOR Blue Jays"
"54","BOS Red Sox","TOR Blue Jays","Kiké Hernandez Doubles","Under","0.5","-425","BOS Red Sox - TOR Blue Jays"
"55","BOS Red Sox","TOR Blue Jays","Kiké Hernandez Singles","Over","0.5","-115","BOS Red Sox - TOR Blue Jays"
"56","BOS Red Sox","TOR Blue Jays","Kiké Hernandez Singles","Under","0.5","-115","BOS Red Sox - TOR Blue Jays"
"57","BOS Red Sox","TOR Blue Jays","Whit Merrifield Doubles","Over","0.5","+350","BOS Red Sox - TOR Blue Jays"
"58","BOS Red Sox","TOR Blue Jays","Whit Merrifield Doubles","Under","0.5","-550","BOS Red Sox - TOR Blue Jays"
"59","BOS Red Sox","TOR Blue Jays","George Springer  Runs","Over","0.5","-155","BOS Red Sox - TOR Blue Jays"
"60","BOS Red Sox","TOR Blue Jays","George Springer  Runs","Under","0.5","+115","BOS Red Sox - TOR Blue Jays"
"61","BOS Red Sox","TOR Blue Jays","Teoscar Hernandez Singles","Over","0.5","-110","BOS Red Sox - TOR Blue Jays"
"62","BOS Red Sox","TOR Blue Jays","Teoscar Hernandez Singles","Under","0.5","-120","BOS Red Sox - TOR Blue Jays"
"63","BOS Red Sox","TOR Blue Jays","Franchy Cordero Doubles","Over","0.5","+295","BOS Red Sox - TOR Blue Jays"
"64","BOS Red Sox","TOR Blue Jays","Franchy Cordero Doubles","Under","0.5","-450","BOS Red Sox - TOR Blue Jays"
"65","BOS Red Sox","TOR Blue Jays","Runs - 1st Inning","Over","0.5","-125","BOS Red Sox - TOR Blue Jays"
"66","BOS Red Sox","TOR Blue Jays","Runs - 1st Inning","Under","0.5","+100","BOS Red Sox - TOR Blue Jays"
"67","BOS Red Sox","TOR Blue Jays","Runs - 1st Inning","Over","1.5","+205","BOS Red Sox - TOR Blue Jays"
"68","BOS Red Sox","TOR Blue Jays","Runs - 1st Inning","Under","1.5","-280","BOS Red Sox - TOR Blue Jays"
