"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","MIN Twins","TEX Rangers","Cole Ragans Strikeouts Thrown","Over","3.5","-105","MIN Twins - TEX Rangers"
"2","MIN Twins","TEX Rangers","Cole Ragans Strikeouts Thrown","Under","3.5","-125","MIN Twins - TEX Rangers"
"3","MIN Twins","TEX Rangers","Gio Urshela Singles","Over","0.5","-120","MIN Twins - TEX Rangers"
"4","MIN Twins","TEX Rangers","Gio Urshela Singles","Under","0.5","-110","MIN Twins - TEX Rangers"
"5","MIN Twins","TEX Rangers","MIN Twins: Team Total Runs","Over","4.5","-125","MIN Twins - TEX Rangers"
"6","MIN Twins","TEX Rangers","MIN Twins: Team Total Runs","Under","4.5","-105","MIN Twins - TEX Rangers"
"7","MIN Twins","TEX Rangers","Sonny Gray Walks","Over","1.5","+110","MIN Twins - TEX Rangers"
"8","MIN Twins","TEX Rangers","Sonny Gray Walks","Under","1.5","-145","MIN Twins - TEX Rangers"
"9","MIN Twins","TEX Rangers","Corey Seager Doubles","Over","0.5","+330","MIN Twins - TEX Rangers"
"10","MIN Twins","TEX Rangers","Corey Seager Doubles","Under","0.5","-500","MIN Twins - TEX Rangers"
"11","MIN Twins","TEX Rangers","Team With Highest Scoring Inning","TEX Rangers",NA,"+155","MIN Twins - TEX Rangers"
"12","MIN Twins","TEX Rangers","Team With Highest Scoring Inning","MIN Twins",NA,"-210","MIN Twins - TEX Rangers"
"13","MIN Twins","TEX Rangers","Both Teams To Score X Runs","1 Run",NA,"-1400","MIN Twins - TEX Rangers"
"14","MIN Twins","TEX Rangers","Both Teams To Score X Runs","2 Runs",NA,"-290","MIN Twins - TEX Rangers"
"15","MIN Twins","TEX Rangers","Both Teams To Score X Runs","3 Runs",NA,"-120","MIN Twins - TEX Rangers"
"16","MIN Twins","TEX Rangers","Both Teams To Score X Runs","4 Runs",NA,"+175","MIN Twins - TEX Rangers"
"17","MIN Twins","TEX Rangers","Both Teams To Score X Runs","5 Runs",NA,"+380","MIN Twins - TEX Rangers"
"18","MIN Twins","TEX Rangers","Both Teams To Score X Runs","6 Runs",NA,"+750","MIN Twins - TEX Rangers"
"19","MIN Twins","TEX Rangers","Both Teams To Score X Runs","7 Runs",NA,"+1500","MIN Twins - TEX Rangers"
"20","MIN Twins","TEX Rangers","Both Teams To Score X Runs","8 Runs",NA,"+3000","MIN Twins - TEX Rangers"
"21","MIN Twins","TEX Rangers","Both Teams To Score X Runs","9+ Runs",NA,"+5000","MIN Twins - TEX Rangers"
"22","MIN Twins","TEX Rangers","Carlos Correa Total Bases","Over","1.5","+120","MIN Twins - TEX Rangers"
"23","MIN Twins","TEX Rangers","Carlos Correa Total Bases","Under","1.5","-155","MIN Twins - TEX Rangers"
"24","MIN Twins","TEX Rangers","Cole Ragans Outs","Over","15.5","+130","MIN Twins - TEX Rangers"
"25","MIN Twins","TEX Rangers","Cole Ragans Outs","Under","15.5","-175","MIN Twins - TEX Rangers"
"26","MIN Twins","TEX Rangers","Marcus Semien Stolen Bases","Over","0.5","+350","MIN Twins - TEX Rangers"
"27","MIN Twins","TEX Rangers","Marcus Semien Stolen Bases","Under","0.5","-550","MIN Twins - TEX Rangers"
"28","MIN Twins","TEX Rangers","First Scoring Play - Number of Runs","1 Run",NA,"-400","MIN Twins - TEX Rangers"
"29","MIN Twins","TEX Rangers","First Scoring Play - Number of Runs","2 Runs",NA,"+350","MIN Twins - TEX Rangers"
"30","MIN Twins","TEX Rangers","First Scoring Play - Number of Runs","3 Runs",NA,"+1800","MIN Twins - TEX Rangers"
"31","MIN Twins","TEX Rangers","First Scoring Play - Number of Runs","4 Runs",NA,"+7000","MIN Twins - TEX Rangers"
"32","MIN Twins","TEX Rangers","Nathaniel Lowe RBIs","Over","0.5","+185","MIN Twins - TEX Rangers"
"33","MIN Twins","TEX Rangers","Nathaniel Lowe RBIs","Under","0.5","-260","MIN Twins - TEX Rangers"
"34","MIN Twins","TEX Rangers","Byron Buxton Runs","Over","0.5","-140","MIN Twins - TEX Rangers"
"35","MIN Twins","TEX Rangers","Byron Buxton Runs","Under","0.5","+105","MIN Twins - TEX Rangers"
"36","MIN Twins","TEX Rangers","Total Hits","Over","16.5","-105","MIN Twins - TEX Rangers"
"37","MIN Twins","TEX Rangers","Total Hits","Under","16.5","-125","MIN Twins - TEX Rangers"
"38","MIN Twins","TEX Rangers","Kole Calhoun Singles","Over","0.5","+165","MIN Twins - TEX Rangers"
"39","MIN Twins","TEX Rangers","Kole Calhoun Singles","Under","0.5","-220","MIN Twins - TEX Rangers"
"40","MIN Twins","TEX Rangers","Extra Innings","Yes",NA,"+750","MIN Twins - TEX Rangers"
"41","MIN Twins","TEX Rangers","Extra Innings","No",NA,"-1400","MIN Twins - TEX Rangers"
"42","MIN Twins","TEX Rangers","Byron Buxton Singles","Over","0.5","+150","MIN Twins - TEX Rangers"
"43","MIN Twins","TEX Rangers","Byron Buxton Singles","Under","0.5","-205","MIN Twins - TEX Rangers"
"44","MIN Twins","TEX Rangers","Leody Taveras Total Bases","Over","0.5","-180","MIN Twins - TEX Rangers"
"45","MIN Twins","TEX Rangers","Leody Taveras Total Bases","Under","0.5","+135","MIN Twins - TEX Rangers"
"46","MIN Twins","TEX Rangers","Sandy Leon Home Runs","Over","0.5","+850","MIN Twins - TEX Rangers"
"47","MIN Twins","TEX Rangers","Sandy Leon Home Runs","Under","0.5","-3000","MIN Twins - TEX Rangers"
"48","MIN Twins","TEX Rangers","Ezequiel Duran RBIs","Over","0.5","+295","MIN Twins - TEX Rangers"
"49","MIN Twins","TEX Rangers","Ezequiel Duran RBIs","Under","0.5","-450","MIN Twins - TEX Rangers"
"50","MIN Twins","TEX Rangers","Max Kepler Runs","Over","0.5","+115","MIN Twins - TEX Rangers"
"51","MIN Twins","TEX Rangers","Max Kepler Runs","Under","0.5","-155","MIN Twins - TEX Rangers"
"52","MIN Twins","TEX Rangers","Carlos Correa Runs","Over","0.5","-125","MIN Twins - TEX Rangers"
"53","MIN Twins","TEX Rangers","Carlos Correa Runs","Under","0.5","-105","MIN Twins - TEX Rangers"
"54","MIN Twins","TEX Rangers","Corey Seager Total Bases","Over","1.5","+100","MIN Twins - TEX Rangers"
"55","MIN Twins","TEX Rangers","Corey Seager Total Bases","Under","1.5","-135","MIN Twins - TEX Rangers"
"56","MIN Twins","TEX Rangers","Adolis Garcia RBIs","Over","0.5","+170","MIN Twins - TEX Rangers"
"57","MIN Twins","TEX Rangers","Adolis Garcia RBIs","Under","0.5","-235","MIN Twins - TEX Rangers"
"58","MIN Twins","TEX Rangers","Luis Arraez Home Runs","Over","0.5","+950","MIN Twins - TEX Rangers"
"59","MIN Twins","TEX Rangers","Luis Arraez Home Runs","Under","0.5","-4000","MIN Twins - TEX Rangers"
