"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","CHI Cubs","WAS Nationals","Willson Contreras Doubles","Over","0.5","+390","CHI Cubs - WAS Nationals"
"2","CHI Cubs","WAS Nationals","Willson Contreras Doubles","Under","0.5","-650","CHI Cubs - WAS Nationals"
"3","CHI Cubs","WAS Nationals","Luis Garcia (WAS) RBIs","Over","0.5","+235","CHI Cubs - WAS Nationals"
"4","CHI Cubs","WAS Nationals","Luis Garcia (WAS) RBIs","Under","0.5","-340","CHI Cubs - WAS Nationals"
"5","CHI Cubs","WAS Nationals","Franmil Reyes RBIs","Over","0.5","+125","CHI Cubs - WAS Nationals"
"6","CHI Cubs","WAS Nationals","Franmil Reyes RBIs","Under","0.5","-165","CHI Cubs - WAS Nationals"
"7","CHI Cubs","WAS Nationals","Christopher Morel Hits","Over","0.5","-145","CHI Cubs - WAS Nationals"
"8","CHI Cubs","WAS Nationals","Christopher Morel Hits","Under","0.5","+110","CHI Cubs - WAS Nationals"
"9","CHI Cubs","WAS Nationals","Nelson Cruz RBIs","Over","0.5","+200","CHI Cubs - WAS Nationals"
"10","CHI Cubs","WAS Nationals","Nelson Cruz RBIs","Under","0.5","-275","CHI Cubs - WAS Nationals"
"11","CHI Cubs","WAS Nationals","Luke Voit Home Runs","Over","0.5","+285","CHI Cubs - WAS Nationals"
"12","CHI Cubs","WAS Nationals","Luke Voit Home Runs","Under","0.5","-425","CHI Cubs - WAS Nationals"
"13","CHI Cubs","WAS Nationals","CHI Cubs: Team Total Runs","Over","4.5","+100","CHI Cubs - WAS Nationals"
"14","CHI Cubs","WAS Nationals","CHI Cubs: Team Total Runs","Under","4.5","-130","CHI Cubs - WAS Nationals"
"15","CHI Cubs","WAS Nationals","Cesar Hernandez Total Bases","Over","0.5","-160","CHI Cubs - WAS Nationals"
"16","CHI Cubs","WAS Nationals","Cesar Hernandez Total Bases","Under","0.5","+120","CHI Cubs - WAS Nationals"
"17","CHI Cubs","WAS Nationals","Zach McKinstry Total Bases","Over","0.5","-170","CHI Cubs - WAS Nationals"
"18","CHI Cubs","WAS Nationals","Zach McKinstry Total Bases","Under","0.5","+130","CHI Cubs - WAS Nationals"
"19","CHI Cubs","WAS Nationals","CHI Cubs to Score - 1st Inning","Yes",NA,"+205","CHI Cubs - WAS Nationals"
"20","CHI Cubs","WAS Nationals","CHI Cubs to Score - 1st Inning","No",NA,"-290","CHI Cubs - WAS Nationals"
"21","CHI Cubs","WAS Nationals","Patrick Wisdom Total Bases","Over","0.5","-155","CHI Cubs - WAS Nationals"
"22","CHI Cubs","WAS Nationals","Patrick Wisdom Total Bases","Under","0.5","+115","CHI Cubs - WAS Nationals"
"23","CHI Cubs","WAS Nationals","Rafael Ortega Stolen Bases","Over","0.5","+700","CHI Cubs - WAS Nationals"
"24","CHI Cubs","WAS Nationals","Rafael Ortega Stolen Bases","Under","0.5","-1800","CHI Cubs - WAS Nationals"
"25","CHI Cubs","WAS Nationals","Franmil Reyes Total Bases","Over","1.5","+120","CHI Cubs - WAS Nationals"
"26","CHI Cubs","WAS Nationals","Franmil Reyes Total Bases","Under","1.5","-165","CHI Cubs - WAS Nationals"
"27","CHI Cubs","WAS Nationals","Nelson Cruz Singles","Over","0.5","+100","CHI Cubs - WAS Nationals"
"28","CHI Cubs","WAS Nationals","Nelson Cruz Singles","Under","0.5","-130","CHI Cubs - WAS Nationals"
"29","CHI Cubs","WAS Nationals","Total 1st 5 Innings","Over","4","-130","CHI Cubs - WAS Nationals"
"30","CHI Cubs","WAS Nationals","Total 1st 5 Innings","Under","4","+100","CHI Cubs - WAS Nationals"
"31","CHI Cubs","WAS Nationals","Keibert Ruiz Total Bases","Over","0.5","-200","CHI Cubs - WAS Nationals"
"32","CHI Cubs","WAS Nationals","Keibert Ruiz Total Bases","Under","0.5","+145","CHI Cubs - WAS Nationals"
"33","CHI Cubs","WAS Nationals","Ildemaro Vargas Hits","Over","0.5","-175","CHI Cubs - WAS Nationals"
"34","CHI Cubs","WAS Nationals","Ildemaro Vargas Hits","Under","0.5","+130","CHI Cubs - WAS Nationals"
"35","CHI Cubs","WAS Nationals","Lane Thomas Home Runs","Over","0.5","+650","CHI Cubs - WAS Nationals"
"36","CHI Cubs","WAS Nationals","Lane Thomas Home Runs","Under","0.5","-1400","CHI Cubs - WAS Nationals"
"37","CHI Cubs","WAS Nationals","Zach McKinstry Singles","Over","0.5","+130","CHI Cubs - WAS Nationals"
"38","CHI Cubs","WAS Nationals","Zach McKinstry Singles","Under","0.5","-170","CHI Cubs - WAS Nationals"
"39","CHI Cubs","WAS Nationals","Willson Contreras RBIs","Over","0.5","+135","CHI Cubs - WAS Nationals"
"40","CHI Cubs","WAS Nationals","Willson Contreras RBIs","Under","0.5","-180","CHI Cubs - WAS Nationals"
"41","CHI Cubs","WAS Nationals","Joey Meneses Total Bases","Over","0.5","-180","CHI Cubs - WAS Nationals"
"42","CHI Cubs","WAS Nationals","Joey Meneses Total Bases","Under","0.5","+135","CHI Cubs - WAS Nationals"
"43","CHI Cubs","WAS Nationals","Will Marcus Stroman Record a Win?","Yes",NA,"+105","CHI Cubs - WAS Nationals"
"44","CHI Cubs","WAS Nationals","Will Marcus Stroman Record a Win?","No",NA,"-135","CHI Cubs - WAS Nationals"
"45","CHI Cubs","WAS Nationals","Luke Voit Runs","Over","0.5","+100","CHI Cubs - WAS Nationals"
"46","CHI Cubs","WAS Nationals","Luke Voit Runs","Under","0.5","-130","CHI Cubs - WAS Nationals"
"47","CHI Cubs","WAS Nationals","Patrick Wisdom Singles","Over","0.5","+210","CHI Cubs - WAS Nationals"
"48","CHI Cubs","WAS Nationals","Patrick Wisdom Singles","Under","0.5","-295","CHI Cubs - WAS Nationals"
"49","CHI Cubs","WAS Nationals","Patrick Wisdom Stolen Bases","Over","0.5","+900","CHI Cubs - WAS Nationals"
"50","CHI Cubs","WAS Nationals","Patrick Wisdom Stolen Bases","Under","0.5","-3000","CHI Cubs - WAS Nationals"
"51","CHI Cubs","WAS Nationals","Team To Win Most Innings","WAS Nationals",NA,"+130","CHI Cubs - WAS Nationals"
"52","CHI Cubs","WAS Nationals","Team To Win Most Innings","CHI Cubs",NA,"-170","CHI Cubs - WAS Nationals"
"53","CHI Cubs","WAS Nationals","Ian Happ Runs","Over","0.5","+100","CHI Cubs - WAS Nationals"
"54","CHI Cubs","WAS Nationals","Ian Happ Runs","Under","0.5","-135","CHI Cubs - WAS Nationals"
"55","CHI Cubs","WAS Nationals","Joey Meneses Stolen Bases","Over","0.5","+1200","CHI Cubs - WAS Nationals"
"56","CHI Cubs","WAS Nationals","Joey Meneses Stolen Bases","Under","0.5","-10000","CHI Cubs - WAS Nationals"
"57","CHI Cubs","WAS Nationals","Willson Contreras Runs","Over","0.5","-130","CHI Cubs - WAS Nationals"
"58","CHI Cubs","WAS Nationals","Willson Contreras Runs","Under","0.5","-105","CHI Cubs - WAS Nationals"
"59","CHI Cubs","WAS Nationals","Franmil Reyes Runs","Over","0.5","+105","CHI Cubs - WAS Nationals"
"60","CHI Cubs","WAS Nationals","Franmil Reyes Runs","Under","0.5","-140","CHI Cubs - WAS Nationals"
"61","CHI Cubs","WAS Nationals","Zach McKinstry RBIs","Over","0.5","+195","CHI Cubs - WAS Nationals"
"62","CHI Cubs","WAS Nationals","Zach McKinstry RBIs","Under","0.5","-275","CHI Cubs - WAS Nationals"
"63","CHI Cubs","WAS Nationals","Seiya Suzuki  Stolen Bases","Over","0.5","+900","CHI Cubs - WAS Nationals"
"64","CHI Cubs","WAS Nationals","Seiya Suzuki  Stolen Bases","Under","0.5","-3500","CHI Cubs - WAS Nationals"
"65","CHI Cubs","WAS Nationals","Ildemaro Vargas RBIs","Over","0.5","+275","CHI Cubs - WAS Nationals"
"66","CHI Cubs","WAS Nationals","Ildemaro Vargas RBIs","Under","0.5","-400","CHI Cubs - WAS Nationals"
"67","CHI Cubs","WAS Nationals","Lane Thomas Runs","Over","0.5","+180","CHI Cubs - WAS Nationals"
"68","CHI Cubs","WAS Nationals","Lane Thomas Runs","Under","0.5","-245","CHI Cubs - WAS Nationals"
"69","CHI Cubs","WAS Nationals","Cesar Hernandez RBIs","Over","0.5","+300","CHI Cubs - WAS Nationals"
"70","CHI Cubs","WAS Nationals","Cesar Hernandez RBIs","Under","0.5","-450","CHI Cubs - WAS Nationals"
"71","CHI Cubs","WAS Nationals","Luis Garcia (WAS) Runs","Over","0.5","+140","CHI Cubs - WAS Nationals"
"72","CHI Cubs","WAS Nationals","Luis Garcia (WAS) Runs","Under","0.5","-185","CHI Cubs - WAS Nationals"
"73","CHI Cubs","WAS Nationals","Ian Happ Home Runs","Over","0.5","+475","CHI Cubs - WAS Nationals"
"74","CHI Cubs","WAS Nationals","Ian Happ Home Runs","Under","0.5","-900","CHI Cubs - WAS Nationals"
"75","CHI Cubs","WAS Nationals","Luke Voit Total Bases","Over","1.5","+110","CHI Cubs - WAS Nationals"
"76","CHI Cubs","WAS Nationals","Luke Voit Total Bases","Under","1.5","-145","CHI Cubs - WAS Nationals"
"77","CHI Cubs","WAS Nationals","Cesar Hernandez Singles","Over","0.5","+100","CHI Cubs - WAS Nationals"
"78","CHI Cubs","WAS Nationals","Cesar Hernandez Singles","Under","0.5","-135","CHI Cubs - WAS Nationals"
"79","CHI Cubs","WAS Nationals","Christopher Morel Runs","Over","0.5","+130","CHI Cubs - WAS Nationals"
"80","CHI Cubs","WAS Nationals","Christopher Morel Runs","Under","0.5","-175","CHI Cubs - WAS Nationals"
"81","CHI Cubs","WAS Nationals","Cesar Hernandez Hits","Over","0.5","-160","CHI Cubs - WAS Nationals"
"82","CHI Cubs","WAS Nationals","Cesar Hernandez Hits","Under","0.5","+120","CHI Cubs - WAS Nationals"
"83","CHI Cubs","WAS Nationals","Race to 3 Runs","WAS Nationals",NA,"+140","CHI Cubs - WAS Nationals"
"84","CHI Cubs","WAS Nationals","Race to 3 Runs","Neither",NA,"+800","CHI Cubs - WAS Nationals"
"85","CHI Cubs","WAS Nationals","Race to 3 Runs","CHI Cubs",NA,"-135","CHI Cubs - WAS Nationals"
"86","CHI Cubs","WAS Nationals","Keibert Ruiz Home Runs","Over","0.5","+800","CHI Cubs - WAS Nationals"
"87","CHI Cubs","WAS Nationals","Keibert Ruiz Home Runs","Under","0.5","-2000","CHI Cubs - WAS Nationals"
"88","CHI Cubs","WAS Nationals","Joey Meneses Runs","Over","0.5","+165","CHI Cubs - WAS Nationals"
"89","CHI Cubs","WAS Nationals","Joey Meneses Runs","Under","0.5","-225","CHI Cubs - WAS Nationals"
