"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHI Phillies","HOU Astros","HOU Astros: Team Total Runs - 1st 5 Innings","Over","1.5","-155","PHI Phillies - HOU Astros"
"2","PHI Phillies","HOU Astros","HOU Astros: Team Total Runs - 1st 5 Innings","Under","1.5","+135","PHI Phillies - HOU Astros"
"3","PHI Phillies","HOU Astros","Race to 3 Runs","HOU Astros",NA,"-135","PHI Phillies - HOU Astros"
"4","PHI Phillies","HOU Astros","Race to 3 Runs","Neither",NA,"+750","PHI Phillies - HOU Astros"
"5","PHI Phillies","HOU Astros","Race to 3 Runs","PHI Phillies",NA,"+145","PHI Phillies - HOU Astros"
"6","PHI Phillies","HOU Astros","Total 1st 5 Innings","Over","4","-120","PHI Phillies - HOU Astros"
"7","PHI Phillies","HOU Astros","Total 1st 5 Innings","Under","4","-110","PHI Phillies - HOU Astros"
"8","PHI Phillies","HOU Astros","Inning of Last Score","9th Inning",NA,"+175","PHI Phillies - HOU Astros"
"9","PHI Phillies","HOU Astros","Inning of Last Score","8th Inning",NA,"+255","PHI Phillies - HOU Astros"
"10","PHI Phillies","HOU Astros","Inning of Last Score","7th Inning",NA,"+550","PHI Phillies - HOU Astros"
"11","PHI Phillies","HOU Astros","Inning of Last Score","10th Inning or Later",NA,"+750","PHI Phillies - HOU Astros"
"12","PHI Phillies","HOU Astros","Inning of Last Score","6th Inning",NA,"+800","PHI Phillies - HOU Astros"
"13","PHI Phillies","HOU Astros","Inning of Last Score","5th Inning",NA,"+1700","PHI Phillies - HOU Astros"
"14","PHI Phillies","HOU Astros","Inning of Last Score","4th Inning",NA,"+2800","PHI Phillies - HOU Astros"
"15","PHI Phillies","HOU Astros","Inning of Last Score","3rd Inning",NA,"+4000","PHI Phillies - HOU Astros"
"16","PHI Phillies","HOU Astros","Inning of Last Score","2nd Inning",NA,"+6000","PHI Phillies - HOU Astros"
"17","PHI Phillies","HOU Astros","Inning of Last Score","1st Inning",NA,"+6500","PHI Phillies - HOU Astros"
"18","PHI Phillies","HOU Astros","1st Run","HOU Astros",NA,"-185","PHI Phillies - HOU Astros"
"19","PHI Phillies","HOU Astros","1st Run","PHI Phillies",NA,"+135","PHI Phillies - HOU Astros"
"20","PHI Phillies","HOU Astros","Both Teams To Score X Runs","1 Run",NA,"-1400","PHI Phillies - HOU Astros"
"21","PHI Phillies","HOU Astros","Both Teams To Score X Runs","2 Runs",NA,"-265","PHI Phillies - HOU Astros"
"22","PHI Phillies","HOU Astros","Both Teams To Score X Runs","3 Runs",NA,"+100","PHI Phillies - HOU Astros"
"23","PHI Phillies","HOU Astros","Both Teams To Score X Runs","4 Runs",NA,"+215","PHI Phillies - HOU Astros"
"24","PHI Phillies","HOU Astros","Both Teams To Score X Runs","5 Runs",NA,"+450","PHI Phillies - HOU Astros"
"25","PHI Phillies","HOU Astros","Both Teams To Score X Runs","6 Runs",NA,"+900","PHI Phillies - HOU Astros"
"26","PHI Phillies","HOU Astros","Both Teams To Score X Runs","7 Runs",NA,"+1800","PHI Phillies - HOU Astros"
"27","PHI Phillies","HOU Astros","Both Teams To Score X Runs","8 Runs",NA,"+3000","PHI Phillies - HOU Astros"
"28","PHI Phillies","HOU Astros","Both Teams To Score X Runs","9+ Runs",NA,"+5000","PHI Phillies - HOU Astros"
"29","PHI Phillies","HOU Astros","Race to 6 Runs","HOU Astros",NA,"+205","PHI Phillies - HOU Astros"
"30","PHI Phillies","HOU Astros","Race to 6 Runs","Neither",NA,"-130","PHI Phillies - HOU Astros"
"31","PHI Phillies","HOU Astros","Race to 6 Runs","PHI Phillies",NA,"+390","PHI Phillies - HOU Astros"
"32","PHI Phillies","HOU Astros","Race to 7 Runs","HOU Astros",NA,"+310","PHI Phillies - HOU Astros"
