"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","NY Mets","SD Padres","Trent Grisham Stolen Bases","Over","0.5","+1100","NY Mets - SD Padres"
"2","NY Mets","SD Padres","Trent Grisham Stolen Bases","Under","0.5","-6000","NY Mets - SD Padres"
"3","NY Mets","SD Padres","Daniel Vogelbach RBIs","Over","0.5","+300","NY Mets - SD Padres"
"4","NY Mets","SD Padres","Daniel Vogelbach RBIs","Under","0.5","-450","NY Mets - SD Padres"
"5","NY Mets","SD Padres","First Scoring Play - Number of Runs","1 Run",NA,"-370","NY Mets - SD Padres"
"6","NY Mets","SD Padres","First Scoring Play - Number of Runs","2 Runs",NA,"+340","NY Mets - SD Padres"
"7","NY Mets","SD Padres","First Scoring Play - Number of Runs","3 Runs",NA,"+1500","NY Mets - SD Padres"
"8","NY Mets","SD Padres","First Scoring Play - Number of Runs","4 Runs",NA,"+6500","NY Mets - SD Padres"
"9","NY Mets","SD Padres","Brandon Nimmo Home Runs","Over","0.5","+800","NY Mets - SD Padres"
"10","NY Mets","SD Padres","Brandon Nimmo Home Runs","Under","0.5","-2000","NY Mets - SD Padres"
"11","NY Mets","SD Padres","Juan Soto Total Bases","Over","0.5","-160","NY Mets - SD Padres"
"12","NY Mets","SD Padres","Juan Soto Total Bases","Under","0.5","+120","NY Mets - SD Padres"
"13","NY Mets","SD Padres","Jake Cronenworth Runs","Over","0.5","+200","NY Mets - SD Padres"
"14","NY Mets","SD Padres","Jake Cronenworth Runs","Under","0.5","-280","NY Mets - SD Padres"
"15","NY Mets","SD Padres","Mark Canha Runs","Over","0.5","+175","NY Mets - SD Padres"
"16","NY Mets","SD Padres","Mark Canha Runs","Under","0.5","-240","NY Mets - SD Padres"
"17","NY Mets","SD Padres","Manny Machado RBIs","Over","0.5","+190","NY Mets - SD Padres"
"18","NY Mets","SD Padres","Manny Machado RBIs","Under","0.5","-260","NY Mets - SD Padres"
"19","NY Mets","SD Padres","Jake Cronenworth RBIs","Over","0.5","+210","NY Mets - SD Padres"
